POS_P3_A1	POS_P3_A5	POS_P3_B1	POS_P3_B5	POS_P3_C1	POS_P3_E3	POS_P3_E4	POS_P3_F3	POS_P3_F4	POS_P3_G3	POS_P3_G4	POS_P3_H3	POS_P3_H4
0	0	0	0	0	0	0	0	0	0	0	0	0
34	19	43	11	25	133	51	30	27	72	11	105	3
85	35	88	14	54	260	154	137	66	157	41	269	5
66	42	94	39	56	127	197	103	91	158	17	185	21
1	3	2	0	4	17	3	9	0	15	2	16	0
27	11	21	5	15	62	49	62	30	55	9	86	5
18	7	10	5	10	19	21	19	9	21	4	33	0
69	42	67	26	32	489	122	241	41	279	22	341	9
51	21	51	14	29	372	99	191	49	406	14	488	11
35	18	34	16	16	119	69	31	31	101	14	124	4
38	29	42	17	25	64	63	25	35	73	15	88	4
0	0	0	0	0	7	0	10	0	76	0	76	1
13	4	11	8	2	40	21	25	12	35	0	37	2
22	9	16	6	15	275	93	77	15	93	2	145	1
31	7	14	9	18	115	15	17	14	122	3	193	3
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	1	1	5	0	1	0
15	14	25	9	4	64	28	36	9	13	8	33	0
24	7	29	8	10	94	20	49	15	67	7	102	2
34	19	25	14	17	248	39	127	26	209	7	265	2
33	24	22	2	16	45	27	13	17	45	7	44	3
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	4	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	2	1	0	28	0	7	1	96	0	61	2
4	3	10	4	4	16	4	9	5	20	1	20	0
80	56	120	33	54	259	191	161	103	254	26	273	23
281	115	309	60	159	269	460	114	228	322	79	461	28
0	0	0	0	0	0	0	0	0	0	0	1	0
1	3	5	0	3	8	0	1	0	9	0	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	7	4	13	1	34	5	5	2	4	8	4
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	8	0	4	0
0	0	0	0	0	0	0	0	1	0	0	2	0
3	8	5	5	4	20	7	17	10	22	4	23	2
12	9	14	6	11	49	23	43	7	28	5	39	0
0	0	0	0	0	2	0	0	0	1	0	1	0
11	11	15	8	11	69	23	25	10	64	3	65	3
6	3	6	3	2	39	4	24	7	30	5	36	2
0	0	0	0	0	2	0	0	0	1	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	10	0	3	0
0	0	0	0	0	1	0	0	0	0	0	2	0
20	15	14	11	10	27	21	5	9	23	3	21	3
0	0	0	0	0	1	0	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	13	1	3	0	13	0	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0
10	6	9	3	9	35	7	36	5	49	0	57	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	1	2	0	0	0	2	0
0	0	0	0	0	1	1	1	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
0	1	1	0	0	1	0	1	0	3	0	4	0
1	1	1	0	1	0	5	1	0	0	1	0	0
1	1	0	2	2	7	6	3	6	8	0	16	1
0	0	0	0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	1	4	0	1	0
