POS_P3_A1	POS_P3_A5	POS_P3_B1	POS_P3_B5	POS_P3_C1	POS_P3_E3	POS_P3_E4	POS_P3_F3	POS_P3_F4	POS_P3_G3	POS_P3_G4	POS_P3_H3	POS_P3_H4
0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	0	0	1	0	0	2	0	0	0
38	22	35	19	30	113	54	52	28	57	14	99	3
35	16	46	8	17	71	39	42	24	64	8	85	1
30	5	29	4	19	83	35	71	14	98	2	98	0
50	25	61	20	46	129	96	60	42	126	23	157	7
10	4	5	2	4	49	10	31	4	55	2	76	0
5	2	4	5	4	8	10	2	3	16	3	19	1
1	0	0	0	1	1	0	0	0	1	1	0	0
1010	578	960	508	557	3305	1695	1483	895	2630	318	2836	206
52	24	93	11	44	537	80	79	60	326	12	318	10
29	11	26	10	23	291	41	116	16	157	7	209	1
109	60	125	38	53	824	219	208	104	417	29	514	20
74	59	131	53	69	227	212	113	106	183	37	221	22
82	27	74	26	47	165	114	37	55	153	14	141	8
9	4	15	5	7	39	21	12	11	37	2	37	0
6	3	7	0	8	20	3	2	0	11	4	12	1
5	8	12	0	4	10	3	5	4	7	1	7	0
8	7	5	0	4	19	9	6	2	21	2	15	3
46	37	75	25	43	308	119	132	55	183	18	192	14
59	84	78	44	61	512	156	547	69	370	22	432	10
31	21	42	14	29	269	57	100	36	183	10	181	5
37	24	46	16	44	130	101	94	53	127	4	106	8
22	6	23	2	11	105	29	75	11	89	6	80	1
26	15	16	8	16	109	27	85	19	59	6	73	3
103	58	136	54	65	1429	238	339	90	737	27	861	17
282	143	367	144	253	2493	618	470	251	2060	101	2506	57
84	21	121	11	83	243	144	61	57	194	18	212	2
2	23	1	17	1	145	1	24	0	133	1	170	0
215	47	180	48	120	657	209	122	69	572	43	581	16
83	46	128	56	75	582	211	427	80	309	23	368	14
219	63	216	68	139	1218	288	830	129	837	60	1002	28
152	88	264	71	131	668	348	544	178	454	51	522	34
350	168	381	120	221	1624	616	403	304	881	97	1012	41
266	132	339	120	214	527	475	440	274	561	84	715	35
119	95	167	52	82	360	236	288	160	326	38	324	23
723	328	855	236	544	1642	1155	1512	657	1192	209	1389	101
329	184	451	143	268	1523	737	1283	388	955	113	1067	63
8	1	5	5	6	51	17	9	4	22	3	47	0
2	3	4	2	1	2	7	1	5	5	1	5	1
482	332	690	237	350	1630	1182	1253	628	1209	189	1380	103
281	150	401	127	256	1462	647	829	341	784	83	924	29
254	128	323	91	173	1289	519	338	249	802	60	892	36
343	220	652	197	324	2655	864	1226	404	1136	83	1540	43
323	123	429	80	251	579	381	110	232	686	108	813	28
128	108	161	78	99	713	336	475	137	414	39	458	22
203	59	297	45	174	306	225	213	118	257	42	319	19
62	54	103	43	59	664	194	227	80	460	20	473	16
0	0	0	0	0	0	0	0	0	0	0	0	0
65	15	57	14	34	617	118	273	58	370	11	440	2
39	32	40	21	28	70	56	17	39	35	11	39	9
61	52	86	26	53	748	142	404	67	618	38	784	18
22	4	15	10	14	82	23	40	10	13	4	11	1
4	3	5	0	7	20	4	2	1	12	2	14	0
10	7	21	5	5	46	19	12	2	36	3	40	0
73	27	70	30	47	425	99	202	52	286	17	346	7
246	72	234	69	159	1011	246	295	158	896	59	977	22
47	18	24	17	20	79	32	20	18	93	3	115	4
186	107	214	89	145	694	331	471	165	434	53	504	23
148	51	162	65	116	514	170	76	80	348	47	401	15
278	206	537	166	279	3018	897	2156	427	1436	104	1718	59
4	0	3	0	0	6	0	2	0	8	2	15	0
128	39	132	42	78	567	215	135	87	440	45	485	13
38	21	60	21	23	334	75	184	36	208	8	181	3
12	4	7	3	7	6	7	1	6	6	0	12	0
5	3	12	3	14	43	19	17	1	21	1	21	0
0	0	0	0	0	0	0	0	0	0	0	0	0
45	23	65	20	30	225	85	104	38	140	7	158	3
0	0	0	0	0	0	0	0	1	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
14	6	13	8	4	6	6	4	5	8	2	14	2
12	6	10	8	17	31	14	7	12	27	3	34	2
0	0	0	0	0	2	0	0	0	1	0	0	0
0	0	3	0	4	10	0	4	0	2	1	9	0
0	0	1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	1	0	7	0	8	0	19	0
0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	5	1	7	27	5	17	2	32	0	42	0
15	19	41	11	16	147	20	42	21	46	4	77	2
14	4	8	4	9	25	18	12	4	14	2	19	1
11	6	15	3	12	30	20	15	8	19	3	28	3
8	4	2	2	1	83	14	20	3	105	3	112	2
2	0	0	1	1	1	0	1	0	0	0	0	0
3	2	5	0	2	1	7	0	6	2	1	1	1
14	4	16	4	8	29	16	31	5	35	3	42	2
2	2	0	0	0	0	2	4	1	9	1	10	0
0	0	0	0	0	0	0	0	0	0	0	0	0
12	3	8	2	9	8	7	1	7	12	1	15	0
7	5	9	2	10	10	9	5	7	12	8	19	0
16	6	11	6	11	17	9	10	2	25	1	35	1
8	3	6	2	10	1	0	0	0	0	1	1	1
76	62	118	40	57	356	181	383	106	371	35	385	11
64	44	67	25	46	232	97	144	38	134	11	154	8
0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	3	4	8	45	14	28	8	55	1	62	1
3	8	3	9	10	8	2	1	1	9	0	11	1
21	21	59	13	18	63	49	27	27	43	5	50	1
42	12	30	15	13	28	39	4	26	11	8	13	0
6	1	2	0	1	1	0	2	1	1	0	2	0
31	22	44	13	18	191	63	99	37	114	14	160	1
20	22	37	17	28	152	51	47	40	72	15	86	2
4	3	5	1	1	21	12	11	4	18	2	28	0
47	26	62	24	31	321	93	164	51	209	15	258	6
11	6	8	4	8	48	33	43	4	21	1	35	2
20	11	17	3	7	0	8	0	4	2	1	0	1
21	5	27	4	19	52	16	37	15	94	6	175	3
24	15	46	18	33	51	65	40	33	73	9	72	1
32	7	51	26	39	78	62	73	25	69	7	123	3
59	42	60	37	36	329	119	54	67	363	19	381	9
90	55	91	47	67	200	156	124	81	164	23	239	16
44	24	48	26	39	341	134	150	52	273	20	339	5
22	7	23	13	15	173	54	74	21	215	9	206	6
61	32	66	32	36	190	110	84	53	210	16	250	8
20	8	19	8	14	101	42	60	12	45	4	60	2
9	7	10	6	5	14	16	6	8	28	4	32	2
12	15	16	13	5	0	10	0	4	1	1	0	3
79	32	125	17	74	295	123	320	60	230	24	233	7
0	0	0	0	0	34	2	16	1	10	0	8	0
1	2	1	1	1	6	5	8	2	7	1	10	0
50	43	75	42	56	234	151	142	72	103	12	110	21
3	1	5	0	0	0	4	0	1	0	0	1	1
23	21	28	12	19	2	37	7	25	29	8	61	3
7	0	17	2	3	2	8	2	11	3	2	1	1
4	2	0	0	0	1	0	0	0	0	0	1	0
17	8	10	4	8	6	5	2	8	3	0	3	1
12	3	9	1	6	17	5	4	3	13	0	17	0
23	8	20	5	5	11	13	12	5	4	3	14	2
19	14	23	19	15	73	34	16	12	82	13	85	4
4	1	0	1	1	0	1	0	2	3	1	3	0
0	0	0	1	0	0	0	0	0	0	0	0	0
17	4	17	4	17	113	6	30	7	79	1	99	1
138	57	160	50	96	31	150	30	85	183	52	186	28
195	146	238	106	127	1627	454	1287	264	732	71	994	43
2	1	1	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	1	2	0	5	0	5	6	2	5	0
2	2	3	0	1	0	0	1	3	2	0	2	0
64	19	33	36	28	7	56	8	27	31	16	27	5
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	3	11	0	1	1	24	0	23	0
0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	5	4	1	131	3	45	2	126	0	106	0
8	3	6	3	4	12	6	9	5	37	1	20	1
0	0	2	0	3	10	3	4	0	4	0	5	0
1	0	0	0	0	0	0	0	0	0	0	0	0
9	3	13	4	5	36	16	14	6	27	1	35	2
4	7	5	3	3	2	3	7	1	3	1	8	1
1	2	6	1	3	2	4	2	1	3	0	1	1
1	3	1	1	1	35	1	10	0	55	1	76	0
1	2	6	0	2	64	13	35	5	19	0	28	2
0	1	2	1	1	5	2	2	2	10	0	9	0
24	10	41	8	19	482	50	482	22	198	3	261	4
1	1	1	2	1	2	1	2	3	14	1	8	0
57	17	72	12	53	2817	30	2671	29	2890	18	2649	4
0	0	1	0	1	2	0	0	0	2	0	2	0
17	12	19	14	10	87	34	55	14	42	2	51	3
1	1	1	0	2	3	2	1	0	2	0	8	0
9	6	6	3	6	14	9	3	5	10	0	8	0
3	2	4	0	2	0	0	0	1	0	0	0	0
0	0	1	0	2	1	2	0	0	0	0	0	0
41	22	25	17	13	0	30	0	16	2	9	0	3
1	2	4	3	1	2	1	0	0	2	1	0	1
13	5	24	5	13	9	28	4	3	24	2	20	2
8	5	5	2	7	0	11	1	2	4	1	6	2
0	0	0	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0
76	23	93	26	74	144	110	121	64	157	18	188	7
0	0	0	0	0	0	1	0	0	0	0	0	0
6	1	5	1	3	19	4	7	4	16	0	21	0
6	18	14	4	5	3	16	1	3	12	3	12	2
50	22	53	19	16	0	80	2	58	2	16	0	6
0	0	0	0	0	0	0	0	0	1	0	0	0
5	3	13	3	2	22	6	7	6	26	2	20	0
7	1	5	0	3	11	7	1	1	13	1	8	2
1	3	2	0	2	19	1	7	3	7	2	7	0
5	2	5	1	5	11	12	7	5	13	4	21	2
0	0	0	0	0	0	0	0	0	0	0	0	0
126	56	101	43	55	798	215	279	78	607	25	631	14
1	0	0	1	0	5	0	4	0	3	0	3	0
0	0	0	0	0	3	0	1	0	0	0	0	0
13	1	18	3	10	20	10	3	6	26	7	27	1
33	17	37	9	26	70	40	36	22	35	15	63	4
64	38	45	30	25	2	48	1	17	2	2	3	7
11	13	8	8	6	15	9	9	2	18	0	12	1
8	4	7	2	2	31	4	13	2	31	1	40	3
28	14	28	9	20	104	29	57	13	48	5	75	3
72	12	34	13	23	229	37	87	23	81	15	113	4
3	3	1	2	7	9	16	8	9	19	1	21	0
1	0	3	0	1	0	1	0	0	0	0	0	0
6	6	9	5	4	5	10	1	2	8	4	10	0
0	0	0	0	0	0	0	0	1	0	0	0	0
27	15	24	22	25	35	42	13	26	34	11	37	3
15	7	16	5	8	35	12	7	5	26	4	25	1
0	0	0	0	0	1	0	0	0	0	0	0	0
21	12	23	5	14	40	32	13	16	38	11	48	3
5	3	1	2	2	18	1	4	9	16	0	15	0
0	0	0	0	0	0	0	0	0	2	0	0	0
5	0	2	0	2	29	1	15	0	11	0	20	0
0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	3	2	3	135	3	68	3	89	3	163	0
0	0	0	0	0	0	0	1	0	0	0	0	0
14	13	12	16	14	34	13	13	6	12	5	9	1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	1	0	0	0
0	0	0	0	0	9	1	2	0	3	0	3	0
0	0	0	0	0	0	0	0	0	0	0	0	0
6	4	7	1	3	0	5	0	4	2	3	0	2
0	0	2	0	1	9	0	10	0	17	0	25	0
5	1	0	3	4	1	1	2	0	24	2	38	1
24	6	22	5	18	21	18	12	10	26	3	34	2
10	1	5	3	2	25	4	24	3	41	1	28	0
278	280	786	94	209	39	587	101	483	63	150	81	21
3	2	1	1	1	0	9	0	1	2	2	3	2
10	2	4	1	2	1	7	0	3	0	2	1	0
0	0	0	0	0	0	1	0	4	1	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
32	7	22	10	14	35	31	15	17	57	6	79	1
14	9	14	6	9	32	20	27	14	32	3	36	4
25	18	30	11	16	30	24	18	9	32	6	41	3
0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	5	0	5	0	15	0	24	0
0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	15	0	3	0	1	0	3	2	0	2	0
119	47	158	57	96	453	145	153	78	364	43	467	11
34	19	36	14	25	59	46	17	13	57	13	52	3
17	13	22	7	16	71	37	47	17	36	12	39	3
4	0	1	0	2	112	0	19	0	26	1	29	0
0	2	7	1	0	1	1	1	4	0	0	0	0
1	1	0	1	0	2	2	2	0	1	0	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	0	1	2	1	0	0	1	0	4	0
5	4	10	1	6	46	14	11	9	42	3	39	2
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
16	4	16	8	6	33	19	33	2	19	1	28	1
13	8	10	4	7	16	17	0	4	6	5	5	2
0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	10	4	8	18	7	12	5	26	3	38	0
53	8	41	10	22	57	32	13	17	87	5	109	3
0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
23	9	9	4	15	75	20	43	13	69	9	87	0
0	0	0	0	0	0	0	0	0	0	0	0	0
34	42	48	28	41	350	84	201	49	131	20	159	5
3	5	3	3	1	8	5	5	2	8	2	12	1
20	7	25	8	10	99	29	40	24	55	7	82	2
11	8	10	5	11	22	17	10	8	12	4	27	1
13	5	10	1	8	45	10	14	9	52	4	74	1
9	5	9	3	4	8	7	5	7	14	1	12	0
1	2	0	3	5	62	4	18	1	21	0	16	0
9	4	18	4	13	15	8	4	6	21	3	21	3
6	4	4	1	3	20	14	3	7	14	0	15	0
577	22	742	409	254	1044	76	295	555	23	18	29	73
0	0	0	0	0	20	1	0	0	4	0	3	0
1	2	5	1	0	10	5	11	3	12	0	17	0
0	1	1	1	0	0	1	0	0	0	0	0	0
126	53	169	37	106	456	283	241	130	347	28	419	10
40	21	35	15	14	158	70	27	21	131	11	140	6
199	138	262	129	134	441	405	430	179	430	63	491	45
320	97	432	94	189	2978	557	1432	275	1273	65	1357	30
16	7	18	4	16	79	28	25	13	55	6	42	0
2	0	5	1	2	28	8	10	6	9	2	22	2
36	27	61	15	30	166	84	154	38	131	12	188	6
11	7	9	4	9	69	8	21	7	62	2	93	2
0	0	0	0	0	3	0	4	0	0	0	3	0
8	5	11	3	10	21	2	5	10	17	0	32	2
12	11	30	7	8	27	26	14	19	9	1	22	2
20	8	18	6	13	37	29	16	15	43	1	50	4
2	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
6	3	8	3	5	10	8	3	3	7	1	20	1
3	0	0	1	1	5	1	2	0	3	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
10	9	4	1	7	48	6	3	10	29	2	46	1
1	0	0	1	1	1	2	3	0	5	0	6	1
0	0	0	0	0	1	0	2	0	2	0	0	0
80	34	93	35	50	202	121	133	73	221	19	256	6
48	22	63	23	23	129	93	71	43	105	14	130	2
110	47	202	51	94	254	72	103	72	264	16	389	17
1	0	0	0	0	0	0	0	0	0	0	0	0
22	40	39	17	13	0	24	0	11	0	4	1	6
15	12	13	6	12	33	19	7	8	29	4	31	2
0	0	0	0	4	96	9	6	4	28	0	18	0
213	110	218	84	155	3692	345	1556	191	3740	87	4178	45
58	25	66	32	39	211	87	27	55	201	19	207	13
1	0	0	0	0	23	2	0	1	1	1	2	0
1	0	0	0	0	23	4	15	2	16	0	10	0
2	3	6	2	1	1	4	2	4	3	1	3	0
4	5	4	1	2	0	1	0	1	0	1	0	1
42	21	25	12	30	7	33	2	26	5	3	4	5
0	0	0	0	0	6	0	5	0	4	0	7	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	10	3	5	45	9	31	4	49	0	62	0
0	0	1	0	0	0	0	4	0	5	0	1	0
1	0	0	0	0	1	0	0	0	11	0	4	0
0	0	0	0	0	1	0	0	0	0	0	0	0
27	14	33	14	29	79	26	98	10	68	0	100	5
25	5	33	8	17	35	18	23	9	37	9	49	5
0	0	0	0	0	0	0	0	0	1	0	0	0
3	6	9	2	6	22	5	8	3	15	0	17	0
0	0	0	0	0	0	0	0	0	0	0	0	0
53	40	71	28	48	472	129	74	52	332	18	383	2
87	51	111	48	62	263	155	106	102	384	35	364	8
153	89	191	74	110	713	267	576	117	594	36	715	28
35	12	36	10	13	61	50	30	19	80	5	105	0
56	36	41	23	19	181	85	154	44	242	15	316	10
10	6	23	7	14	4	14	2	13	11	5	11	3
16	11	18	9	13	32	8	12	6	35	3	36	1
0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
8	6	7	5	6	9	15	2	6	10	4	7	0
11	3	4	2	10	25	7	8	4	21	2	22	0
19	16	17	8	14	45	15	18	5	29	2	29	0
21	10	35	8	13	71	15	21	10	52	5	76	3
6	0	0	4	4	38	6	17	1	42	0	54	2
0	0	0	0	0	0	0	0	0	0	1	1	0
7	5	9	0	5	10	12	7	6	16	5	26	0
0	0	0	0	1	77	2	34	1	27	0	39	0
21	11	19	10	11	33	26	15	10	36	6	56	4
12	6	11	3	6	36	5	11	6	21	2	33	0
1	2	7	0	2	1	5	4	1	11	0	6	0
26	26	10	7	8	20	25	20	19	34	6	54	9
4	2	12	1	3	7	3	8	7	6	1	3	0
9	4	15	1	9	13	12	11	10	9	3	4	0
10	3	14	3	8	26	12	8	8	21	0	21	1
45	12	19	15	19	307	33	44	22	144	13	201	7
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
54	26	54	19	33	264	53	37	25	225	16	272	10
2	1	1	0	0	2	1	9	1	1	1	0	0
0	0	1	0	0	1	0	1	2	2	1	0	0
2	0	2	0	1	0	4	0	3	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
72	37	91	31	41	395	110	192	38	280	21	312	3
1	0	0	0	1	2	0	0	0	0	0	3	0
13	10	12	7	14	21	23	6	17	25	5	22	0
0	1	1	1	2	37	3	14	1	4	0	11	0
12	2	7	7	7	35	15	15	10	35	6	25	2
8	5	20	2	5	38	14	23	7	22	4	26	1
14	8	18	4	7	60	23	20	10	50	5	63	1
33	18	48	14	29	87	59	64	32	88	9	106	6
0	1	0	0	0	1	1	4	1	3	0	5	0
0	0	1	0	1	30	3	37	0	38	0	33	0
9	5	6	4	6	51	12	20	8	46	0	50	1
13	3	9	6	7	68	17	7	5	70	2	59	1
14	3	10	8	2	6	18	4	7	25	2	16	1
9	8	13	2	7	20	4	10	6	25	2	20	0
31	26	26	15	14	78	52	85	36	77	8	89	2
10	4	8	4	7	17	9	8	2	18	1	19	1
14	1	9	3	6	37	10	20	5	32	3	32	1
63	42	75	32	41	390	117	138	53	243	22	222	8
31	12	26	13	21	118	53	93	28	66	7	74	2
92	89	66	32	31	488	97	314	37	326	27	516	13
23	12	20	8	11	65	24	28	11	41	5	42	2
75	44	81	32	50	365	167	273	83	260	16	290	7
46	22	65	17	30	170	82	157	40	111	10	125	8
32	22	68	20	32	663	132	230	58	298	12	314	10
53	29	72	32	32	253	95	104	71	117	20	134	8
34	29	57	24	29	399	75	155	43	155	10	161	5
5	4	6	3	5	91	14	13	4	53	3	33	1
0	0	0	0	0	0	0	0	0	0	0	0	0
33	3	6	12	11	37	18	36	11	40	5	64	3
42	14	24	11	23	58	39	25	29	51	11	62	3
0	0	0	0	3	0	1	0	0	8	0	5	0
13	8	19	8	8	49	22	12	18	50	8	58	4
26	25	29	29	20	112	62	24	33	86	13	118	6
10	8	8	8	5	13	12	2	6	6	0	12	2
0	2	0	5	3	7	4	16	2	30	1	26	0
5	4	12	3	8	44	12	20	4	33	1	46	0
3	0	4	1	2	3	3	6	2	10	0	20	0
35	36	55	24	32	11	55	3	31	18	15	35	5
44	8	22	14	29	844	55	230	26	308	4	304	5
7	1	17	1	6	126	14	51	4	58	0	62	1
1	1	1	0	1	1	0	0	0	3	1	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
11	7	15	8	3	1	4	6	5	55	2	63	1
0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	3	0	1	0	3	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	13	0	6	0
97	33	43	27	53	165	68	39	40	390	8	384	11
0	0	1	1	1	12	1	2	0	8	0	8	0
0	0	1	0	0	3	1	1	0	2	0	1	0
2	2	0	0	0	1	0	0	1	0	0	1	0
8	0	7	4	6	17	4	8	0	7	3	12	1
1	1	3	0	0	3	0	2	0	0	1	2	0
0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0
5	0	34	1	8	0	34	0	17	0	3	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	0	1	1	0	2	0
0	0	0	0	0	3	3	0	0	3	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	2	3	0	0	3	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	4	3	2	21	4	8	5	7	0	23	1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	1	0	0	0	0	0	0
2	1	1	0	1	0	1	0	0	0	0	0	0
3	0	3	0	0	0	1	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
38	7	15	10	8	250	23	143	12	2022	10	1149	1
358	310	364	142	156	17	205	9	76	17	19	10	53
44	35	41	18	20	976	38	380	12	179	11	126	9
0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2	0	1	9	0	14	2	22	0	16	0
0	0	0	0	0	0	0	0	0	0	0	0	0
9	5	8	5	7	26	11	14	2	14	1	15	0
69	53	54	71	38	348	100	131	37	203	17	199	11
0	1	2	0	0	2	0	1	1	3	0	0	0
19	6	13	12	8	159	21	80	10	148	5	194	4
0	0	0	0	1	0	0	2	0	3	0	0	0
16	3	15	2	16	54	17	32	13	31	2	63	2
49	16	63	21	36	153	52	79	31	109	18	121	11
23	41	34	30	20	119	52	34	19	35	9	48	5
14	5	18	3	11	52	19	18	10	28	4	32	0
11	11	25	7	9	28	18	28	23	45	6	52	1
15	5	15	4	7	53	11	27	4	31	5	33	2
1	0	0	0	1	3	1	1	0	1	1	0	0
0	0	0	0	0	0	0	0	1	0	0	1	0
1	0	0	1	1	1	0	2	0	2	1	2	0
28	14	29	17	15	32	15	16	8	41	4	18	2
3	1	0	0	3	7	1	6	0	8	1	14	2
7	2	10	1	9	29	7	10	0	28	0	34	0
50	28	62	30	39	135	87	63	35	164	15	159	10
35	10	24	11	19	202	53	167	38	211	11	190	8
0	0	1	1	0	2	1	0	0	0	0	1	0
9	5	13	6	19	69	38	29	7	56	9	65	1
0	3	1	0	1	1	2	0	0	19	0	16	0
1	4	4	1	2	34	2	8	0	29	1	35	0
5	1	4	0	2	14	2	11	5	17	1	17	1
7	3	5	3	4	0	9	0	4	9	5	6	0
1	0	2	1	5	75	11	73	6	63	1	56	0
3	3	2	2	9	6	4	6	0	7	0	6	0
1	0	0	0	1	19	1	2	0	6	0	4	0
12	3	14	0	13	249	23	30	11	106	1	144	2
45	17	30	17	35	65	73	22	20	66	9	94	4
41	6	54	9	36	108	49	60	23	82	14	105	3
12	6	9	11	12	28	12	15	9	18	2	21	2
5	3	8	0	2	5	2	10	3	21	2	14	2
0	0	0	0	0	0	0	0	0	0	0	0	0
28	16	19	15	14	14	30	5	15	10	4	28	2
9	1	11	5	7	16	7	4	5	14	1	27	1
7	7	7	2	6	34	6	16	9	18	1	26	1
15	5	8	3	7	94	27	63	11	113	5	107	1
91	77	107	58	65	326	162	88	73	209	32	313	14
7	3	6	2	1	4	9	1	2	8	3	7	1
15	12	26	12	22	50	34	31	19	59	4	69	1
7	1	4	4	6	19	11	4	12	14	2	35	1
107	88	120	72	58	313	281	151	112	264	50	247	14
1	0	2	0	1	1	0	0	0	7	0	8	0
0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	14	7	15	2	20	1	4	4	6	6	3
0	1	0	0	0	0	0	0	0	0	0	0	0
9	3	10	3	4	18	2	8	3	33	2	40	2
10	3	4	3	4	10	2	2	0	14	5	13	0
8	1	6	0	9	3	5	3	8	7	2	5	1
11	2	18	2	6	129	6	108	4	101	2	120	1
0	0	4	1	2	2	1	2	1	1	1	5	0
3	4	2	0	2	2	9	0	0	0	1	12	2
0	0	0	0	0	6	1	3	1	3	0	0	0
0	0	0	0	0	0	0	1	0	1	0	1	0
14	12	26	6	10	24	40	19	23	27	5	27	1
202	157	238	70	181	6	163	14	135	10	43	19	5
66	31	57	41	30	171	85	52	34	117	16	112	5
24	8	38	12	19	47	35	16	18	54	8	41	4
9	1	11	5	18	57	7	20	6	134	3	141	2
6	1	4	4	7	4	4	5	5	5	1	6	1
13	1	6	2	1	27	6	12	4	44	0	69	1
0	0	0	0	0	0	0	0	0	0	0	0	0
40	23	55	18	23	279	100	71	51	155	9	192	11
2	3	2	0	3	3	6	2	3	1	0	4	0
8	7	8	3	2	28	9	5	5	12	4	11	0
0	1	0	0	1	1	3	4	0	1	1	6	0
8	4	10	1	5	44	8	10	2	18	3	20	1
3	4	6	2	5	23	12	7	6	14	1	23	1
0	0	0	0	0	0	0	1	0	0	0	1	0
0	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	1	1	1	0	4	3	1	3	0	3	1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	2	0	0	1	2	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	2	0	0	0	0	0	1	0
0	0	0	0	0	5	0	0	0	1	0	2	1
1	0	1	1	1	10	1	13	0	12	1	19	0
14	7	9	3	2	28	12	18	11	16	2	25	2
18	11	15	9	9	20	11	8	12	21	3	29	0
11	5	14	2	2	19	8	7	8	28	3	18	1
2	1	3	0	1	1	2	2	0	0	2	1	0
15	12	15	1	7	153	17	93	18	120	8	133	0
129	103	190	89	77	784	317	227	144	561	35	832	25
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	2	0	2	0	0	0
0	1	0	0	0	6	1	2	0	22	0	30	0
0	0	1	0	0	0	1	0	0	0	0	0	0
44	16	58	10	40	49	26	39	26	57	16	69	3
61	27	46	19	35	63	61	29	24	52	12	74	7
1	0	2	0	1	4	2	0	1	6	0	3	0
2	0	2	0	0	1	2	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
3	5	6	2	4	39	4	13	0	37	0	41	0
3	0	0	0	0	8	1	5	1	22	0	26	0
0	1	3	0	0	8	0	7	1	9	0	9	0
29	9	11	9	11	25	28	8	13	27	5	31	1
66	30	69	32	55	198	113	121	57	160	16	206	4
18	9	12	9	10	90	24	54	13	69	5	59	4
12	9	16	9	6	33	21	15	10	64	4	77	3
0	0	0	1	0	4	1	1	0	1	0	2	0
6	4	10	3	6	59	12	13	9	28	3	35	5
30	19	32	15	19	88	58	28	32	111	10	108	6
3	3	2	1	2	75	5	50	6	72	0	78	0
124	59	89	49	95	166	117	25	63	237	35	306	15
2	3	3	1	3	6	3	0	2	9	0	9	0
1	0	0	0	0	0	0	0	0	1	0	0	0
28	7	27	5	12	52	29	17	11	37	7	51	1
