"","batch","well","treatment","sample","genes_detected","genes_detected_zscore","genes_detected_pval","genes_detected_padj","counts"
"M2B_T384s1_O1","M2B","O1","Un inj TA 2","M2B_T384s1_O1",867,-3.97095577328817,7.15848686105656e-05,0.0274885895464572,1386
"M2B_T384s1_O2","M2B","O2","P7NG# 7 D5 Diff GFP +","M2B_T384s1_O2",3820,-2.66441158390106,0.00771231372670012,0.293764263161503,12761
"M2B_T384s1_O3","M2B","O3","O3","M2B_T384s1_O3",11137,0.572968651028017,0.566665920142821,0.994975217358688,502721
"M2B_T384s1_O4","M2B","O4","O4","M2B_T384s1_O4",10128,0.126540243614673,0.899304295257986,0.994975217358688,162469
"M2B_T384s1_O5","M2B","O5","O5","M2B_T384s1_O5",9069,-0.34201048329388,0.732343002955727,0.994975217358688,128186
"M2B_T384s1_O6","M2B","O6","O6","M2B_T384s1_O6",11082,0.548634099583285,0.583256579585981,0.994975217358688,355283
"M2B_T384s1_O7","M2B","O7","O7","M2B_T384s1_O7",9330,-0.226531975528883,0.820787692648841,0.994975217358688,134791
"M2B_T384s1_O8","M2B","O8","O8","M2B_T384s1_O8",10970,0.499080103914014,0.617722953376025,0.994975217358688,320005
"M2B_T384s1_O9","M2B","O9","O9","M2B_T384s1_O9",8985,-0.379175980045834,0.704557187264126,0.994975217358688,124644
"M2B_T384s1_O10","M2B","O10","O10","M2B_T384s1_O10",10158,0.139813635311799,0.888807239697279,0.994975217358688,191916
"M2B_T384s1_O11","M2B","O11","O11","M2B_T384s1_O11",9177,-0.294226273184226,0.768585005613606,0.994975217358688,129646
"M2B_T384s1_O12","M2B","O12","O12","M2B_T384s1_O12",8918,-0.408819888169415,0.682671843565059,0.994975217358688,118492
"M2B_T384s1_O13","M2B","O13","O13","M2B_T384s1_O13",7551,-1.01364410316846,0.31075260505639,0.994975217358688,67784
"M2B_T384s1_O14","M2B","O14","O14","M2B_T384s1_O14",9549,-0.129636216139862,0.896854248673114,0.994975217358688,162091
"M2B_T384s1_O15","M2B","O15","O15","M2B_T384s1_O15",9988,0.0645977490280845,0.948494276983788,0.994975217358688,203316
"M2B_T384s1_O16","M2B","O16","O16","M2B_T384s1_O16",10365,0.23140003802197,0.817004035626577,0.994975217358688,231107
"M2B_T384s1_O17","M2B","O17","O17","M2B_T384s1_O17",7034,-1.24238888674894,0.214093113948189,0.994975217358688,48636
"M2B_T384s1_O18","M2B","O18","O18","M2B_T384s1_O18",7435,-1.06496788439735,0.286890463237444,0.994975217358688,54379
"M2B_T384s1_O19","M2B","O19","O19","M2B_T384s1_O19",8414,-0.631812868681135,0.527509163691218,0.994975217358688,91384
"M2B_T384s1_O20","M2B","O20","O20","M2B_T384s1_O20",6122,-1.64589999434157,0.0997843501306916,0.86657777301741,31120
"M2B_T384s1_O21","M2B","O21","O21","M2B_T384s1_O21",6470,-1.49192865065491,0.135717850846092,0.994975217358688,36090
"M2B_T384s1_O22","M2B","O22","O22","M2B_T384s1_O22",6559,-1.45255092195344,0.146348480971555,0.994975217358688,36445
"M2B_T384s1_O23","M2B","O23","AdMyoD","M2B_T384s1_O23",10311,0.207507932967143,0.835613197892821,0.994975217358688,204214
"M2B_T384s1_O24","M2B","O24","#3 MN(0Days) NRM","M2B_T384s1_O24",4441,-2.38965237577054,0.0168643265846124,0.409654454830882,12951
"M2B_T384s1_P1","M2B","P1","5D Inj TA 1","M2B_T384s1_P1",5190,-2.05826002973229,0.0395651788781744,0.495379935546161,23655
"M2B_T384s1_P2","M2B","P2","P7NG# 9 D5 Diff GFP -","M2B_T384s1_P2",4292,-2.45557688786627,0.0140658659315371,0.37250293225588,18826
"M2B_T384s1_P3","M2B","P3","P3","M2B_T384s1_P3",11198,0.599957880812173,0.548534306154107,0.994975217358688,351187
"M2B_T384s1_P4","M2B","P4","P4","M2B_T384s1_P4",10792,0.420324646511066,0.674248307364087,0.994975217358688,385371
"M2B_T384s1_P5","M2B","P5","P5","M2B_T384s1_P5",10316,0.209720164916664,0.833886086186429,0.994975217358688,220796
"M2B_T384s1_P6","M2B","P6","P6","M2B_T384s1_P6",9243,-0.265024811450549,0.790990348253149,0.994975217358688,136458
"M2B_T384s1_P7","M2B","P7","P7","M2B_T384s1_P7",10177,0.148220116719979,0.882169056321061,0.994975217358688,201793
"M2B_T384s1_P8","M2B","P8","P8","M2B_T384s1_P8",9692,-0.0663663823835604,0.947086134145956,0.994975217358688,164160
"M2B_T384s1_P9","M2B","P9","P9","M2B_T384s1_P9",8917,-0.40926233455932,0.682347153646704,0.994975217358688,111395
"M2B_T384s1_P10","M2B","P10","P10","M2B_T384s1_P10",11319,0.653493893990582,0.51343792458589,0.994975217358688,524963
"M2B_T384s1_P11","M2B","P11","P11","M2B_T384s1_P11",513,-4.12758179531426,3.66598049349726e-05,0.0274885895464572,682
"M2B_T384s1_P12","M2B","P12","P12","M2B_T384s1_P12",9743,-0.0438016164984459,0.96506253854323,0.994975217358688,159121
"M2B_T384s1_P13","M2B","P13","P13","M2B_T384s1_P13",9464,-0.167244159281719,0.867177939610254,0.994975217358688,141952
"M2B_T384s1_P14","M2B","P14","P14","M2B_T384s1_P14",10318,0.210605057696472,0.833195465361398,0.994975217358688,221135
"M2B_T384s1_P15","M2B","P15","P15","M2B_T384s1_P15",9618,-0.0991074152364716,0.921052984569735,0.994975217358688,152779
"M2B_T384s1_P16","M2B","P16","P16","M2B_T384s1_P16",10851,0.446428983515414,0.655287400531164,0.994975217358688,311905
"M2B_T384s1_P17","M2B","P17","P17","M2B_T384s1_P17",5781,-1.79677421329891,0.0723714717032491,0.721834938546692,26403
"M2B_T384s1_P18","M2B","P18","P18","M2B_T384s1_P18",8194,-0.72915107446006,0.465909255189088,0.994975217358688,74890
"M2B_T384s1_P19","M2B","P19","P19","M2B_T384s1_P19",9444,-0.176093087079803,0.86022081177594,0.994975217358688,119577
"M2B_T384s1_P20","M2B","P20","P20","M2B_T384s1_P20",8018,-0.8070216390832,0.419654016259151,0.994975217358688,68317
"M2B_T384s1_P21","M2B","P21","P21","M2B_T384s1_P21",6899,-1.30211914938601,0.192875657957781,0.994975217358688,44431
"M2B_T384s1_P22","M2B","P22","P22","M2B_T384s1_P22",8277,-0.692428024098011,0.488668571883929,0.994975217358688,81077
"M2B_T384s1_P23","M2B","P23","AdMyoD","M2B_T384s1_P23",9997,0.0685797665372223,0.94532412490547,0.994975217358688,186801
"M2B_T384s1_P24","M2B","P24","#4 MN(0Days) NRM","M2B_T384s1_P24",3576,-2.77236850303768,0.00556499984143229,0.293764263161503,7551
