,well,treatment,experiment
277,E18,E18,sseq
278,F18,F18,sseq
279,G18,G18,sseq
280,H18,H18,sseq
281,I18,I18,sseq
282,J18,J18,sseq
283,K18,K18,sseq
284,L18,L18,sseq
285,M18,M18,sseq
286,N18,N18,sseq
287,O18,O18,sseq
288,P18,P18,sseq
289,A19,A19,sseq
290,B19,B19,sseq
291,C19,C19,sseq
292,D19,D19,sseq
293,E19,E19,sseq
294,F19,F19,sseq
295,G19,G19,sseq
296,H19,H19,sseq
297,I19,I19,sseq
298,J19,J19,sseq
299,K19,K19,sseq
300,L19,L19,sseq
301,M19,M19,sseq
302,N19,N19,sseq
303,O19,O19,sseq
304,P19,P19,sseq
305,A20,A20,sseq
306,B20,B20,sseq
307,C20,C20,sseq
308,D20,D20,sseq
309,E20,E20,sseq
310,F20,F20,sseq
311,G20,G20,sseq
312,H20,H20,sseq
313,I20,I20,sseq
314,J20,J20,sseq
315,K20,K20,sseq
316,L20,L20,sseq
317,M20,M20,sseq
318,N20,N20,sseq
319,O20,O20,sseq
320,P20,P20,sseq
321,A21,A21,sseq
322,B21,B21,sseq
323,C21,C21,sseq
324,D21,D21,sseq
325,E21,E21,sseq
326,F21,F21,sseq
327,G21,G21,sseq
328,H21,H21,sseq
329,I21,I21,sseq
330,J21,J21,sseq
331,K21,K21,sseq
332,L21,L21,sseq
333,M21,M21,sseq
334,N21,N21,sseq
335,O21,O21,sseq
336,P21,P21,sseq
337,A22,A22,sseq
338,B22,B22,sseq
339,C22,C22,sseq
340,D22,D22,sseq
341,E22,E22,sseq
342,F22,F22,sseq
343,G22,G22,sseq
344,H22,H22,sseq
345,I22,I22,sseq
346,J22,J22,sseq
347,K22,K22,sseq
348,L22,L22,sseq
349,M22,M22,sseq
350,N22,N22,sseq
351,O22,O22,sseq
352,P22,P22,sseq
353,A23,P7NG# 9 D5 Diff GFP +,sph
354,B23,P7NG# 14 D5 Diff GFP -,sph
355,C23,P7NG# 14 D5 Diff GFP +,sph
356,D23,P7NG# 16 D20 SF GFP +,sph
357,E23,P7NG# 14 D20 SF GFP -,sph
358,F23,P7NG# 14 D20 SF GFP +,sph
359,G23,P7NG# 5 D20 SF GFP -,sph
360,H23,P7NG# 5 D20 SF GFP +,sph
361,I23,DMSO,sseq
362,J23,DMSO,sseq
363,K23,DMSO,sseq
364,L23,DMSO,sseq
365,M23,AdMyoD,sseq
366,N23,AdMyoD,sseq
367,O23,AdMyoD,sseq
368,P23,AdMyoD,sseq
369,A24,P7NG# 13 D20 SF GFP -,sph
370,B24,P7NG# 13 D20 SF GFP +,sph
371,C24,P7NG# 8 D20 SF GFP -,sph
372,D24,P7NG# 8 D20 SF GFP +,sph
373,E24,P7NG# 10 D20 SF GFP -,sph
374,F24,P7NG# 10 D20 SF GFP +,sph
375,G24,P7NG# 8 D30 GFP -,sph
376,H24,P7NG# 8 D30 GFP +,sph
377,I24,P7NG# 13 D30 GFP -,sph
378,J24,P7NG# 13 D30 GFP +,sph
379,K24,P7NG# 10 D30 GFP -,sph
380,L24,P7NG# 10 D30 GFP +,sph
381,M24,#1 MN(0Days) NRM,sph
382,N24,#2 MN(0Days) NRM,sph
383,O24,#3 MN(0Days) NRM,sph
384,P24,#4 MN(0Days) NRM,sph
