,batch,well,treatment,sample,Experiment
M1B_T384s1_G8,M1B,G8,G8,M1B_T384s1_G8,Sseq
M1B_T384s1_G9,M1B,G9,G9,M1B_T384s1_G9,Sseq
M1B_T384s1_G10,M1B,G10,G10,M1B_T384s1_G10,Sseq
M1B_T384s1_G11,M1B,G11,G11,M1B_T384s1_G11,Sseq
M1B_T384s1_G12,M1B,G12,G12,M1B_T384s1_G12,Sseq
M1B_T384s1_G13,M1B,G13,G13,M1B_T384s1_G13,Sseq
M1B_T384s1_G14,M1B,G14,G14,M1B_T384s1_G14,Sseq
M1B_T384s1_G15,M1B,G15,G15,M1B_T384s1_G15,Sseq
M1B_T384s1_G16,M1B,G16,G16,M1B_T384s1_G16,Sseq
M1B_T384s1_G17,M1B,G17,G17,M1B_T384s1_G17,Sseq
M1B_T384s1_G18,M1B,G18,G18,M1B_T384s1_G18,Sseq
M1B_T384s1_G19,M1B,G19,G19,M1B_T384s1_G19,Sseq
M1B_T384s1_G20,M1B,G20,G20,M1B_T384s1_G20,Sseq
M1B_T384s1_G21,M1B,G21,G21,M1B_T384s1_G21,Sseq
M1B_T384s1_G22,M1B,G22,G22,M1B_T384s1_G22,Sseq
M1B_T384s1_G23,M1B,G23,P7NG# 5 D20 SF GFP -,M1B_T384s1_G23,Sph
M1B_T384s1_G24,M1B,G24,P7NG# 8 D30 GFP -,M1B_T384s1_G24,Sph
M1B_T384s1_H1,M1B,H1,Myo#8,M1B_T384s1_H1,Sseq
M1B_T384s1_H2,M1B,H2,AdMyoD,M1B_T384s1_H2,Sseq
M1B_T384s1_H3,M1B,H3,H3,M1B_T384s1_H3,Sseq
M1B_T384s1_H4,M1B,H4,H4,M1B_T384s1_H4,Sseq
M1B_T384s1_H5,M1B,H5,H5,M1B_T384s1_H5,Sseq
M1B_T384s1_H6,M1B,H6,H6,M1B_T384s1_H6,Sseq
M1B_T384s1_H7,M1B,H7,H7,M1B_T384s1_H7,Sseq
M1B_T384s1_H8,M1B,H8,H8,M1B_T384s1_H8,Sseq
M1B_T384s1_H9,M1B,H9,H9,M1B_T384s1_H9,Sseq
M1B_T384s1_H10,M1B,H10,H10,M1B_T384s1_H10,Sseq
M1B_T384s1_H11,M1B,H11,H11,M1B_T384s1_H11,Sseq
M1B_T384s1_H12,M1B,H12,H12,M1B_T384s1_H12,Sseq
M1B_T384s1_H13,M1B,H13,H13,M1B_T384s1_H13,Sseq
M1B_T384s1_H14,M1B,H14,H14,M1B_T384s1_H14,Sseq
M1B_T384s1_H15,M1B,H15,H15,M1B_T384s1_H15,Sseq
M1B_T384s1_H16,M1B,H16,H16,M1B_T384s1_H16,Sseq
M1B_T384s1_H17,M1B,H17,H17,M1B_T384s1_H17,Sseq
M1B_T384s1_H18,M1B,H18,H18,M1B_T384s1_H18,Sseq
M1B_T384s1_H19,M1B,H19,H19,M1B_T384s1_H19,Sseq
M1B_T384s1_H20,M1B,H20,H20,M1B_T384s1_H20,Sseq
M1B_T384s1_H21,M1B,H21,H21,M1B_T384s1_H21,Sseq
M1B_T384s1_H22,M1B,H22,H22,M1B_T384s1_H22,Sseq
M1B_T384s1_H23,M1B,H23,P7NG# 5 D20 SF GFP +,M1B_T384s1_H23,Sph
M1B_T384s1_H24,M1B,H24,P7NG# 8 D30 GFP +,M1B_T384s1_H24,Sph
M1B_T384s1_I1,M1B,I1,Myo#9,M1B_T384s1_I1,Sseq
M1B_T384s1_I2,M1B,I2,5D Inj TA 2,M1B_T384s1_I2,Sph
M1B_T384s1_I3,M1B,I3,I3,M1B_T384s1_I3,Sseq
M1B_T384s1_I4,M1B,I4,I4,M1B_T384s1_I4,Sseq
M1B_T384s1_I5,M1B,I5,I5,M1B_T384s1_I5,Sseq
M1B_T384s1_I6,M1B,I6,I6,M1B_T384s1_I6,Sseq
M1B_T384s1_I7,M1B,I7,I7,M1B_T384s1_I7,Sseq
M1B_T384s1_I8,M1B,I8,I8,M1B_T384s1_I8,Sseq
M1B_T384s1_I9,M1B,I9,I9,M1B_T384s1_I9,Sseq
M1B_T384s1_I10,M1B,I10,I10,M1B_T384s1_I10,Sseq
M1B_T384s1_I11,M1B,I11,I11,M1B_T384s1_I11,Sseq
M1B_T384s1_I12,M1B,I12,I12,M1B_T384s1_I12,Sseq
M1B_T384s1_I13,M1B,I13,I13,M1B_T384s1_I13,Sseq
M1B_T384s1_I14,M1B,I14,I14,M1B_T384s1_I14,Sseq
M1B_T384s1_I15,M1B,I15,I15,M1B_T384s1_I15,Sseq
M1B_T384s1_I16,M1B,I16,I16,M1B_T384s1_I16,Sseq
M1B_T384s1_I17,M1B,I17,I17,M1B_T384s1_I17,Sseq
M1B_T384s1_I18,M1B,I18,I18,M1B_T384s1_I18,Sseq
M1B_T384s1_I19,M1B,I19,I19,M1B_T384s1_I19,Sseq
M1B_T384s1_I20,M1B,I20,I20,M1B_T384s1_I20,Sseq
M1B_T384s1_I21,M1B,I21,I21,M1B_T384s1_I21,Sseq
M1B_T384s1_I22,M1B,I22,I22,M1B_T384s1_I22,Sseq
M1B_T384s1_I23,M1B,I23,DMSO,M1B_T384s1_I23,Sseq
M1B_T384s1_I24,M1B,I24,P7NG# 13 D30 GFP -,M1B_T384s1_I24,Sph
M1B_T384s1_J1,M1B,J1,Myo#10,M1B_T384s1_J1,Sseq
M1B_T384s1_J2,M1B,J2,5D Inj TA 3,M1B_T384s1_J2,Sph
M1B_T384s1_J3,M1B,J3,J3,M1B_T384s1_J3,Sseq
M1B_T384s1_J4,M1B,J4,J4,M1B_T384s1_J4,Sseq
M1B_T384s1_J5,M1B,J5,J5,M1B_T384s1_J5,Sseq
M1B_T384s1_J6,M1B,J6,J6,M1B_T384s1_J6,Sseq
M1B_T384s1_J7,M1B,J7,J7,M1B_T384s1_J7,Sseq
M1B_T384s1_J8,M1B,J8,J8,M1B_T384s1_J8,Sseq
M1B_T384s1_J9,M1B,J9,J9,M1B_T384s1_J9,Sseq
M1B_T384s1_J10,M1B,J10,J10,M1B_T384s1_J10,Sseq
M1B_T384s1_J11,M1B,J11,J11,M1B_T384s1_J11,Sseq
M1B_T384s1_J12,M1B,J12,J12,M1B_T384s1_J12,Sseq
M1B_T384s1_J13,M1B,J13,J13,M1B_T384s1_J13,Sseq
M1B_T384s1_J14,M1B,J14,J14,M1B_T384s1_J14,Sseq
M1B_T384s1_J15,M1B,J15,J15,M1B_T384s1_J15,Sseq
M1B_T384s1_J16,M1B,J16,J16,M1B_T384s1_J16,Sseq
M1B_T384s1_J17,M1B,J17,J17,M1B_T384s1_J17,Sseq
M1B_T384s1_J18,M1B,J18,J18,M1B_T384s1_J18,Sseq
M1B_T384s1_J19,M1B,J19,J19,M1B_T384s1_J19,Sseq
M1B_T384s1_J20,M1B,J20,J20,M1B_T384s1_J20,Sseq
M1B_T384s1_J21,M1B,J21,J21,M1B_T384s1_J21,Sseq
M1B_T384s1_J22,M1B,J22,J22,M1B_T384s1_J22,Sseq
M1B_T384s1_J23,M1B,J23,DMSO,M1B_T384s1_J23,Sseq
M1B_T384s1_J24,M1B,J24,P7NG# 13 D30 GFP +,M1B_T384s1_J24,Sph
M1B_T384s1_K1,M1B,K1,Myo#13,M1B_T384s1_K1,Sseq
M1B_T384s1_K2,M1B,K2,P7NG#5 GFP High,M1B_T384s1_K2,Sph
M1B_T384s1_K3,M1B,K3,K3,M1B_T384s1_K3,Sseq
M1B_T384s1_K4,M1B,K4,K4,M1B_T384s1_K4,Sseq
M1B_T384s1_K5,M1B,K5,K5,M1B_T384s1_K5,Sseq
M1B_T384s1_K6,M1B,K6,K6,M1B_T384s1_K6,Sseq
M1B_T384s1_K7,M1B,K7,K7,M1B_T384s1_K7,Sseq
M1B_T384s1_K8,M1B,K8,K8,M1B_T384s1_K8,Sseq
M1B_T384s1_K9,M1B,K9,K9,M1B_T384s1_K9,Sseq
M1B_T384s1_K10,M1B,K10,K10,M1B_T384s1_K10,Sseq
M1B_T384s1_K11,M1B,K11,K11,M1B_T384s1_K11,Sseq
M1B_T384s1_K12,M1B,K12,K12,M1B_T384s1_K12,Sseq
M1B_T384s1_K13,M1B,K13,K13,M1B_T384s1_K13,Sseq
M1B_T384s1_K14,M1B,K14,K14,M1B_T384s1_K14,Sseq
M1B_T384s1_K15,M1B,K15,K15,M1B_T384s1_K15,Sseq
M1B_T384s1_K16,M1B,K16,K16,M1B_T384s1_K16,Sseq
M1B_T384s1_K17,M1B,K17,K17,M1B_T384s1_K17,Sseq
M1B_T384s1_K18,M1B,K18,K18,M1B_T384s1_K18,Sseq
M1B_T384s1_K19,M1B,K19,K19,M1B_T384s1_K19,Sseq
M1B_T384s1_K20,M1B,K20,K20,M1B_T384s1_K20,Sseq
M1B_T384s1_K21,M1B,K21,K21,M1B_T384s1_K21,Sseq
M1B_T384s1_K22,M1B,K22,K22,M1B_T384s1_K22,Sseq
M1B_T384s1_K23,M1B,K23,DMSO,M1B_T384s1_K23,Sseq
M1B_T384s1_K24,M1B,K24,P7NG# 10 D30 GFP -,M1B_T384s1_K24,Sph
M1B_T384s1_L1,M1B,L1,Myo#15,M1B_T384s1_L1,Sseq
M1B_T384s1_L2,M1B,L2,P7NG#8 GFP High,M1B_T384s1_L2,Sph
M1B_T384s1_L3,M1B,L3,L3,M1B_T384s1_L3,Sseq
M1B_T384s1_L4,M1B,L4,L4,M1B_T384s1_L4,Sseq
M1B_T384s1_L5,M1B,L5,L5,M1B_T384s1_L5,Sseq
M1B_T384s1_L6,M1B,L6,L6,M1B_T384s1_L6,Sseq
M1B_T384s1_L7,M1B,L7,L7,M1B_T384s1_L7,Sseq
M1B_T384s1_L8,M1B,L8,L8,M1B_T384s1_L8,Sseq
M1B_T384s1_L9,M1B,L9,L9,M1B_T384s1_L9,Sseq
M1B_T384s1_L10,M1B,L10,L10,M1B_T384s1_L10,Sseq
M1B_T384s1_L11,M1B,L11,L11,M1B_T384s1_L11,Sseq
M1B_T384s1_L12,M1B,L12,L12,M1B_T384s1_L12,Sseq
M1B_T384s1_L13,M1B,L13,L13,M1B_T384s1_L13,Sseq
M1B_T384s1_L14,M1B,L14,L14,M1B_T384s1_L14,Sseq
M1B_T384s1_L15,M1B,L15,L15,M1B_T384s1_L15,Sseq
M1B_T384s1_L16,M1B,L16,L16,M1B_T384s1_L16,Sseq
M1B_T384s1_L17,M1B,L17,L17,M1B_T384s1_L17,Sseq
M1B_T384s1_L18,M1B,L18,L18,M1B_T384s1_L18,Sseq
M1B_T384s1_L19,M1B,L19,L19,M1B_T384s1_L19,Sseq
M1B_T384s1_L20,M1B,L20,L20,M1B_T384s1_L20,Sseq
M1B_T384s1_L21,M1B,L21,L21,M1B_T384s1_L21,Sseq
M1B_T384s1_L22,M1B,L22,L22,M1B_T384s1_L22,Sseq
M1B_T384s1_L23,M1B,L23,DMSO,M1B_T384s1_L23,Sseq
M1B_T384s1_L24,M1B,L24,P7NG# 10 D30 GFP +,M1B_T384s1_L24,Sph
M1B_T384s1_M1,M1B,M1,Myo#16,M1B_T384s1_M1,Sseq
M1B_T384s1_M2,M1B,M2,P7NG#10 GFP High,M1B_T384s1_M2,Sph
M1B_T384s1_M3,M1B,M3,M3,M1B_T384s1_M3,Sseq
M1B_T384s1_M4,M1B,M4,M4,M1B_T384s1_M4,Sseq
M1B_T384s1_M5,M1B,M5,M5,M1B_T384s1_M5,Sseq
M1B_T384s1_M6,M1B,M6,M6,M1B_T384s1_M6,Sseq
M1B_T384s1_M7,M1B,M7,M7,M1B_T384s1_M7,Sseq
M1B_T384s1_M8,M1B,M8,M8,M1B_T384s1_M8,Sseq
M1B_T384s1_M9,M1B,M9,M9,M1B_T384s1_M9,Sseq
M1B_T384s1_M10,M1B,M10,M10,M1B_T384s1_M10,Sseq
M1B_T384s1_M11,M1B,M11,M11,M1B_T384s1_M11,Sseq
M1B_T384s1_M12,M1B,M12,M12,M1B_T384s1_M12,Sseq
M1B_T384s1_M13,M1B,M13,M13,M1B_T384s1_M13,Sseq
M1B_T384s1_M14,M1B,M14,M14,M1B_T384s1_M14,Sseq
M1B_T384s1_M15,M1B,M15,M15,M1B_T384s1_M15,Sseq
M1B_T384s1_M16,M1B,M16,M16,M1B_T384s1_M16,Sseq
M1B_T384s1_M17,M1B,M17,M17,M1B_T384s1_M17,Sseq
M1B_T384s1_M18,M1B,M18,M18,M1B_T384s1_M18,Sseq
M1B_T384s1_M19,M1B,M19,M19,M1B_T384s1_M19,Sseq
M1B_T384s1_M20,M1B,M20,M20,M1B_T384s1_M20,Sseq
M1B_T384s1_M21,M1B,M21,M21,M1B_T384s1_M21,Sseq
M1B_T384s1_M22,M1B,M22,M22,M1B_T384s1_M22,Sseq
M1B_T384s1_M23,M1B,M23,AdMyoD,M1B_T384s1_M23,Sseq
M1B_T384s1_M24,M1B,M24,#1 MN(0Days) NRM,M1B_T384s1_M24,Sph
M1B_T384s1_N1,M1B,N1,Un Inj TA 1,M1B_T384s1_N1,Sph
M1B_T384s1_N2,M1B,N2,P7NG# 7 D5 Diff GFP -,M1B_T384s1_N2,Sseq
M1B_T384s1_N3,M1B,N3,N3,M1B_T384s1_N3,Sseq
M1B_T384s1_N4,M1B,N4,N4,M1B_T384s1_N4,Sseq
M1B_T384s1_N5,M1B,N5,N5,M1B_T384s1_N5,Sseq
M1B_T384s1_N6,M1B,N6,N6,M1B_T384s1_N6,Sseq
M1B_T384s1_N7,M1B,N7,N7,M1B_T384s1_N7,Sseq
M1B_T384s1_N8,M1B,N8,N8,M1B_T384s1_N8,Sseq
M1B_T384s1_N9,M1B,N9,N9,M1B_T384s1_N9,Sseq
M1B_T384s1_N10,M1B,N10,N10,M1B_T384s1_N10,Sseq
M1B_T384s1_N11,M1B,N11,N11,M1B_T384s1_N11,Sseq
M1B_T384s1_N12,M1B,N12,N12,M1B_T384s1_N12,Sseq
M1B_T384s1_N13,M1B,N13,N13,M1B_T384s1_N13,Sseq
M1B_T384s1_N14,M1B,N14,N14,M1B_T384s1_N14,Sseq
M1B_T384s1_N15,M1B,N15,N15,M1B_T384s1_N15,Sseq
M1B_T384s1_N16,M1B,N16,N16,M1B_T384s1_N16,Sseq
M1B_T384s1_N17,M1B,N17,N17,M1B_T384s1_N17,Sseq
M1B_T384s1_N18,M1B,N18,N18,M1B_T384s1_N18,Sseq
M1B_T384s1_N19,M1B,N19,N19,M1B_T384s1_N19,Sseq
M1B_T384s1_N20,M1B,N20,N20,M1B_T384s1_N20,Sseq
M1B_T384s1_N21,M1B,N21,N21,M1B_T384s1_N21,Sseq
M1B_T384s1_N22,M1B,N22,N22,M1B_T384s1_N22,Sseq
M1B_T384s1_N23,M1B,N23,AdMyoD,M1B_T384s1_N23,Sseq
M1B_T384s1_N24,M1B,N24,#2 MN(0Days) NRM,M1B_T384s1_N24,Sph
M1B_T384s1_O1,M1B,O1,Un inj TA 2,M1B_T384s1_O1,Sph
M1B_T384s1_O2,M1B,O2,P7NG# 7 D5 Diff GFP +,M1B_T384s1_O2,Sph
M1B_T384s1_O3,M1B,O3,O3,M1B_T384s1_O3,Sseq
M1B_T384s1_O4,M1B,O4,O4,M1B_T384s1_O4,Sseq
M1B_T384s1_O5,M1B,O5,O5,M1B_T384s1_O5,Sseq
M1B_T384s1_O6,M1B,O6,O6,M1B_T384s1_O6,Sseq
M1B_T384s1_O7,M1B,O7,O7,M1B_T384s1_O7,Sseq
M1B_T384s1_O8,M1B,O8,O8,M1B_T384s1_O8,Sseq
M1B_T384s1_O9,M1B,O9,O9,M1B_T384s1_O9,Sseq
M1B_T384s1_O10,M1B,O10,O10,M1B_T384s1_O10,Sseq
