"M2B_T384s1_A1" "M2B_T384s1_A23" "M2B_T384s1_A24" "M2B_T384s1_B1" "M2B_T384s1_B23" "M2B_T384s1_B24" "M2B_T384s1_C1" "M2B_T384s1_C23" "M2B_T384s1_C24" "M2B_T384s1_D1" "M2B_T384s1_D23" "M2B_T384s1_D24" "M2B_T384s1_E1" "M2B_T384s1_E23" "M2B_T384s1_E24" "M2B_T384s1_F1" "M2B_T384s1_F23" "M2B_T384s1_F24" "M2B_T384s1_G1" "M2B_T384s1_G23" "M2B_T384s1_G24" "M2B_T384s1_H1" "M2B_T384s1_H23" "M2B_T384s1_H24" "M2B_T384s1_I1" "M2B_T384s1_I2" "M2B_T384s1_I24" "M2B_T384s1_J1" "M2B_T384s1_J2" "M2B_T384s1_J24" "M2B_T384s1_K1" "M2B_T384s1_K2" "M2B_T384s1_K24" "M2B_T384s1_L1" "M2B_T384s1_L2" "M2B_T384s1_L24" "M2B_T384s1_M1" "M2B_T384s1_M2" "M2B_T384s1_M24" "M2B_T384s1_N1" "M2B_T384s1_N2" "M2B_T384s1_N24" "M2B_T384s1_O1" "M2B_T384s1_O2" "M2B_T384s1_O24" "M2B_T384s1_P1" "M2B_T384s1_P2" "M2B_T384s1_P24"
"Cox6c" 33 44 87 20 31 10 20 39 36 8 38 25 21 33 40 17 33 13 35 102 50 54 54 37 33 18 26 30 33 23 49 26 13 40 29 5 19 13 7 55 18 0 3 21 4 34 32 3
"Cox7a1" 1 0 31 0 6 1 0 0 3 0 1 0 0 1 13 0 4 0 0 10 3 0 0 0 0 2 0 0 4 0 0 0 1 0 1 1 0 0 0 9 2 0 0 0 0 9 3 0
"Cox7a2" 20 22 26 6 14 6 8 15 16 7 18 14 10 16 13 12 12 5 28 51 22 26 19 13 22 6 13 10 7 18 32 17 12 25 14 4 13 8 4 21 10 1 0 5 4 15 14 0
"Cox7a2l" 14 6 9 9 7 3 7 4 13 4 8 9 5 1 3 9 3 2 11 19 4 18 14 7 5 8 8 10 20 8 15 10 3 12 12 1 4 5 4 2 4 0 0 4 3 11 5 1
"Cox7b" 38 43 81 9 18 15 7 15 28 9 38 20 13 23 41 16 20 12 30 93 38 26 48 26 15 10 15 19 17 25 39 19 9 31 19 3 14 17 4 22 18 0 4 7 4 18 30 2
"Cox7b2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cox7c" 2 1 1 0 0 0 0 1 1 0 2 1 1 0 0 0 0 0 1 5 0 0 3 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0
"Cox8a" 17 12 8 11 7 5 9 11 7 7 10 16 15 7 7 9 12 6 24 16 12 25 38 25 13 8 8 23 17 16 25 22 6 13 15 0 5 11 5 0 3 3 1 10 3 10 7 0
"Cox8b" 1 2 45 0 11 3 1 1 20 0 14 2 0 13 20 2 4 1 0 51 11 1 4 2 7 2 8 2 4 0 0 0 3 0 0 0 1 0 0 41 5 0 3 0 1 12 15 0
"Cox8c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cp" 1 1 0 2 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 2 1 21 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Cpa1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpa2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpa3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpa4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpa5" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpa6" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Cpb1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpb2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpd" 3 4 2 0 0 0 1 0 6 1 1 0 0 1 0 0 2 0 0 3 3 1 1 1 1 3 2 1 2 1 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"Cpe" 3 3 7 0 0 1 1 1 0 0 3 4 0 0 1 1 1 0 1 3 0 1 0 0 2 0 1 2 3 1 5 0 1 2 0 1 0 2 0 1 0 0 0 0 1 1 0 1
"Cpeb1" 1 0 0 3 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Cpeb2" 0 0 2 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"Cpeb3" 0 0 1 0 1 0 0 1 1 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpeb4" 0 1 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Cped1" 3 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Cphx1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cphx2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cplx1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cplx2" 0 1 0 0 0 0 1 2 0 2 0 0 0 0 0 1 3 1 2 0 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 2 0 1 0 0 0 0 0 2 1 0 0
"Cplx3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cplx4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpm" 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Cpn1" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpn2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpne1" 2 6 0 2 1 0 0 1 0 1 0 2 0 1 0 0 2 1 2 1 0 0 3 1 0 1 1 1 1 0 2 1 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"Cpne2" 0 1 11 0 1 0 0 0 5 1 0 1 2 0 7 0 0 0 1 15 9 7 3 0 0 1 9 2 2 1 1 0 3 2 0 0 0 2 0 0 2 0 0 0 0 1 2 0
"Cpne3" 8 5 2 3 3 4 0 1 0 1 1 1 1 3 1 2 4 0 1 1 4 1 10 1 0 3 1 1 3 3 3 0 2 2 1 1 1 1 1 0 0 1 0 1 0 3 0 0
"Cpne4" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpne5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpne6" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpne7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpne8" 2 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 1 0 1 0 0 2 0 1 0 3 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Cpne9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpox" 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Cpped1" 3 3 1 0 1 2 2 2 2 0 1 2 0 1 0 1 2 2 2 3 0 3 2 0 0 0 1 0 1 1 2 1 2 2 2 0 0 0 2 0 1 0 0 1 1 0 1 0
"Cpq" 3 1 0 1 0 3 3 1 0 1 6 8 0 0 1 2 3 10 0 0 0 3 14 4 2 1 0 1 2 1 1 2 1 1 2 0 1 1 1 0 1 0 0 1 0 1 0 0
"Cps1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpsf1" 2 1 0 0 1 0 3 0 1 1 0 1 0 0 1 0 1 0 1 2 0 1 0 0 2 1 1 2 1 1 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 3
"Cpsf2" 5 2 5 2 1 3 0 3 0 0 3 1 3 2 1 0 0 2 0 2 2 5 4 1 5 0 1 0 1 3 1 1 1 2 4 1 0 1 1 0 0 1 0 3 0 0 1 0
"Cpsf3" 4 1 0 0 0 1 0 0 3 2 0 1 1 3 1 2 1 1 2 3 0 3 4 3 1 1 1 1 1 3 7 3 0 1 1 0 0 0 3 2 0 0 0 0 0 1 2 2
"Cpsf3l" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0
"Cpsf4" 1 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1
"Cpsf4l" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpsf6" 0 0 2 1 1 0 1 1 0 0 1 1 0 2 0 1 1 0 4 2 0 4 2 1 2 0 1 2 0 1 1 1 0 0 0 1 0 1 1 0 2 1 0 0 0 1 0 0
"Cpsf7" 0 2 0 0 1 1 0 3 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 2 1 0 0 0 1 1 0 1 0 1 0 2 0 0 0 0 0 0 2 0 1 1
"Cpt1a" 0 1 0 1 0 0 1 1 1 1 0 3 1 0 1 3 0 1 1 1 0 7 5 0 0 1 0 1 1 2 3 5 1 1 2 0 0 1 0 0 0 0 1 1 1 1 0 0
"Cpt1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpt1c" 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 2 0 0 3 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"Cpt2" 1 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 2 2 0 0 1 0 1 1 2 0 0 2 0 0 0 0 1 1 1 0 0 0 0 0 1 0
"Cpvl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpxcr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpxm1" 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Cpxm2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cpz" 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"Cr1l" 0 2 2 0 0 0 3 0 0 1 0 1 0 2 0 0 0 0 4 2 1 3 4 1 0 1 0 0 0 2 0 0 1 0 1 0 0 2 1 0 0 0 0 0 1 2 2 0
"Cr2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crabp1" 11 13 4 4 2 4 1 7 9 4 3 5 1 5 1 5 2 0 1 5 2 4 7 2 2 1 10 2 4 7 8 7 2 1 5 1 1 0 6 0 1 0 2 3 2 1 0 2
"Crabp2" 4 5 4 2 1 0 1 2 1 1 1 1 0 0 1 2 0 0 0 0 2 1 3 1 0 2 2 1 1 0 1 1 2 1 1 0 0 0 3 0 2 0 0 0 7 1 0 2
"Cradd" 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"Cramp1l" 0 1 0 1 0 0 1 3 1 1 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Crat" 0 0 6 0 1 1 0 0 1 0 1 1 0 0 2 0 0 2 0 8 1 1 0 0 0 1 0 0 3 0 2 1 0 0 1 0 1 0 1 0 2 0 0 0 0 3 0 0
"Crb1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crb2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Crb3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crbn" 3 1 2 1 0 2 0 0 2 0 0 1 0 1 2 0 1 1 2 7 1 1 4 0 0 1 1 1 1 2 3 2 1 2 0 0 0 0 0 0 3 1 0 1 0 1 0 0
"Crcp" 1 1 1 0 1 1 3 0 1 1 1 0 2 1 2 1 2 0 1 3 0 1 0 1 1 0 1 0 0 3 4 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0
"Crct1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Creb1" 4 4 1 3 0 0 0 1 1 1 1 0 0 1 1 2 1 0 1 0 2 0 3 0 2 0 3 1 1 2 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1
"Creb3" 0 3 1 2 1 0 0 2 1 0 0 4 0 2 0 1 4 1 1 2 4 1 2 0 1 0 2 1 0 2 3 0 1 5 1 0 1 0 0 1 1 0 0 0 1 1 0 0
"Creb3l1" 2 5 0 2 1 0 1 4 1 0 3 1 1 0 1 0 0 0 0 1 0 3 6 2 3 0 2 0 3 1 3 5 0 2 3 0 2 0 0 0 0 0 0 0 0 4 0 0
"Creb3l2" 0 2 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"Creb3l3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Creb3l4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Creb5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crebbp" 3 2 2 0 0 1 2 1 2 0 0 1 3 0 2 1 1 2 0 1 3 3 3 1 0 0 0 1 4 1 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"Crebl2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crebrf" 0 0 0 1 0 1 1 0 2 2 1 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"Crebzf" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Creg1" 1 1 1 1 1 1 0 1 2 0 0 4 3 0 0 1 1 0 3 4 0 0 9 2 0 2 1 1 5 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 1 2 1
"Creg2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Creld1" 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 7 2 0 4 0 0 0 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0
"Creld2" 3 5 2 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 2 11 0 1 24 3 1 1 0 1 1 1 3 0 0 3 2 0 0 0 0 0 2 0 0 0 0 1 2 0
"Crem" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0
"Crh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crhbp" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crhr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Crhr2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crim1" 1 3 1 2 1 0 0 1 0 0 0 0 2 0 0 0 1 1 0 1 1 1 1 0 0 0 2 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1
"Crip1" 7 34 1 11 0 43 7 5 0 7 25 71 1 0 0 2 13 53 13 1 2 12 76 29 3 13 1 2 32 7 3 4 0 8 5 1 4 0 1 3 0 0 0 23 0 28 1 0
"Crip2" 14 13 20 25 10 8 17 7 10 17 18 4 5 11 11 6 4 4 15 36 14 48 15 6 9 3 12 9 5 13 20 22 8 13 15 2 4 4 2 0 11 1 0 10 2 3 13 1
"Crip3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cript" 3 4 6 2 3 0 0 0 1 2 4 2 2 2 0 1 2 1 2 10 0 2 2 3 1 2 0 1 1 1 2 2 0 2 1 0 1 1 1 0 0 0 0 0 3 1 1 1
"Crisp1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crisp2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crisp3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crisp4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crispld1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crispld2" 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crk" 3 2 2 1 1 1 1 1 2 0 0 2 0 0 0 0 2 1 3 4 0 3 4 1 0 0 1 1 1 1 4 0 0 1 3 0 0 1 0 0 0 0 1 1 2 1 1 0
"Crkl" 0 1 2 0 2 0 2 0 2 0 0 0 0 1 1 0 0 0 0 2 0 0 1 1 1 1 0 1 0 0 2 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0
"Crlf1" 1 1 0 4 1 2 5 2 0 4 4 6 0 1 1 1 1 2 2 0 0 3 3 0 0 0 0 3 0 0 2 2 1 1 0 1 1 2 0 0 0 0 0 1 0 1 0 0
"Crlf2" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"Crlf3" 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 4 0 2 0 0 0 1 1 1 2 1 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 1 1 0
"Crls1" 3 0 0 0 0 0 0 0 2 3 0 0 1 0 2 1 1 0 0 4 0 2 2 0 1 0 1 1 0 1 1 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 1 0
"Crmp1" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 7 0 0 0 0 0 6 0 0 3
"Crnkl1" 4 4 7 2 3 0 0 1 5 0 4 2 2 2 3 1 0 0 2 4 2 4 5 3 1 2 2 0 3 1 4 1 2 2 4 0 0 1 1 0 0 0 0 1 0 0 1 0
"Crnn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crocc" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Crot" 0 2 2 0 1 0 0 2 0 1 1 0 0 1 0 3 2 0 1 1 0 0 1 1 0 1 0 1 1 2 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 1
"Crp" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Crtac1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Crtam" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crtap" 6 4 0 1 1 4 3 1 0 1 2 0 1 1 0 1 0 0 4 0 1 3 4 3 0 1 1 3 3 7 6 4 0 5 0 0 1 2 1 0 1 0 0 1 0 1 0 0
"Crtc1" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Crtc2" 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 2 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Crtc3" 1 1 0 1 0 1 3 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"Crx" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
