"M2B_T384s1_A1" "M2B_T384s1_A23" "M2B_T384s1_A24" "M2B_T384s1_B1" "M2B_T384s1_B23" "M2B_T384s1_B24" "M2B_T384s1_C1" "M2B_T384s1_C23" "M2B_T384s1_C24" "M2B_T384s1_D1" "M2B_T384s1_D23" "M2B_T384s1_D24" "M2B_T384s1_E1" "M2B_T384s1_E23" "M2B_T384s1_E24" "M2B_T384s1_F1" "M2B_T384s1_F23" "M2B_T384s1_F24" "M2B_T384s1_G1" "M2B_T384s1_G23" "M2B_T384s1_G24" "M2B_T384s1_H1" "M2B_T384s1_H23" "M2B_T384s1_H24" "M2B_T384s1_I1" "M2B_T384s1_I2" "M2B_T384s1_I24" "M2B_T384s1_J1" "M2B_T384s1_J2" "M2B_T384s1_J24" "M2B_T384s1_K1" "M2B_T384s1_K2" "M2B_T384s1_K24" "M2B_T384s1_L1" "M2B_T384s1_L2" "M2B_T384s1_L24" "M2B_T384s1_M1" "M2B_T384s1_M2" "M2B_T384s1_M24" "M2B_T384s1_N1" "M2B_T384s1_N2" "M2B_T384s1_N24" "M2B_T384s1_O1" "M2B_T384s1_O2" "M2B_T384s1_O24" "M2B_T384s1_P1" "M2B_T384s1_P2" "M2B_T384s1_P24"
"0610040J01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610043K17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1100001G20Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110001A16Rik" 6 4 4 4 1 1 3 3 2 0 1 0 1 2 1 1 1 0 1 12 3 3 3 0 2 0 1 0 3 6 4 1 1 3 0 3 1 3 1 1 0 0 0 1 1 2 4 1
"1110001J03Rik" 3 2 4 0 0 0 2 1 2 1 0 3 2 0 0 2 0 2 4 8 0 2 1 1 1 1 3 1 0 0 1 3 1 1 2 0 0 0 1 1 1 0 0 1 1 4 0 0
"1110002L01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110004E09Rik" 0 0 2 3 0 0 0 2 0 0 1 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 2 3 0 1 0 1 0 0 1 2 0 0 0 0 0 0 3 0 1
"1110004F10Rik" 14 8 13 4 5 4 3 5 1 4 9 7 5 4 4 8 7 3 9 13 8 13 14 9 7 0 4 9 7 5 17 8 4 14 5 2 2 4 5 1 4 2 1 4 3 3 2 1
"1110006O24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110007C09Rik" 1 1 2 1 0 0 0 0 1 0 1 0 0 1 1 0 0 2 0 7 1 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 1 0
"1110008F13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110008J03Rik" 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 2 0 2 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"1110008L16Rik" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110008P14Rik" 2 0 3 0 0 0 0 2 1 1 2 1 1 0 0 0 4 0 1 3 0 2 4 0 1 0 3 0 4 1 4 1 0 3 1 0 1 2 0 0 0 0 0 0 0 1 1 0
"1110012L19Rik" 1 0 1 0 0 2 0 4 3 0 0 0 1 1 1 1 0 1 4 1 1 1 1 0 0 0 0 1 2 0 1 1 0 1 4 0 0 0 1 0 0 0 0 1 0 1 0 1
"1110015O18Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110017D15Rik" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
