SC	10T 5aza D5	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IPS	IF	10T	10T 5aza D10	BJ Fib	IF	10T	IF AdMyoD D5	Myo	SC	10T	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D10	Myo	SC	NA
4568	Ces2h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4569	Ces3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4570	Ces3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4571	Ces4a	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4572	Ces5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4573	Cetn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4574	Cetn2	87	54	11	202	36	78	110	109	118	41	47	7	2	137	164	100	2	78	75	6	345	144	83	110	74	58	44	4	314	24	46	7	351	13
4575	Cetn3	167	130	27	566	101	206	140	239	309	93	108	10	1	288	355	146	2	108	163	10	486	342	184	229	126	137	147	15	440	60	105	15	423	23
4576	Cetn4	0	4	0	23	0	0	9	3	12	0	0	0	0	9	4	1	0	8	3	0	8	1	2	9	5	0	2	2	5	1	0	0	6	0
4577	Cfb	2	1	9	124	1	1	90	105	105	1	1	6	1	97	1	65	2	403	0	3	2	2	3	32	2	1	1	0	2	0	5	3	3	2
4578	Cfc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4579	Cfd	6	2	10	472	3	6	6	84	170	4	6	0	3	734	2	12	2	862	1	19	7	2	10	404	3	1	0	23	5	2	3	10	8	2
4580	Cfdp1	117	193	26	612	64	161	248	268	402	61	86	15	18	358	439	150	14	231	205	21	590	239	219	317	162	121	186	25	402	48	136	21	491	21
4581	Cfh	38	5	3	43	22	47	50	53	41	16	28	2	0	38	2	34	0	79	1	0	2	25	1	21	0	30	2	0	1	13	5	1	0	2
4582	Cfhr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4583	Cfhr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4584	Cfi	0	0	0	6	0	0	0	2	5	0	0	0	0	4	0	0	0	17	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
4585	Cfl1	448	1826	120	4525	273	576	949	1420	2648	240	316	66	57	3120	5405	751	89	2474	2623	111	5478	1040	2342	1846	3701	436	1374	107	2643	133	1315	80	3086	76
4586	Cfl2	165	151	19	434	97	172	134	221	221	74	97	11	5	273	268	107	78	136	144	15	982	345	205	195	240	162	107	11	1232	61	114	18	1335	27
4587	Cflar	93	295	18	602	55	85	156	153	384	33	64	10	2	433	444	144	0	187	257	24	809	125	204	306	505	72	219	28	722	31	284	14	927	10
4588	Cfp	7	1	1	27	4	14	1	1	2	0	4	0	0	24	3	0	0	98	0	0	3	4	2	2	2	5	0	0	0	0	1	2	2	0
4589	Cftr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4590	Cga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4591	Cggbp1	43	68	6	161	9	39	49	91	135	13	25	4	3	112	127	30	4	103	73	4	149	39	81	69	43	23	41	4	95	9	50	7	88	8
4592	Cgn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4593	Cgnl1	11	24	1	41	3	22	34	40	46	1	11	0	1	42	45	30	0	54	21	1	10	14	26	14	6	9	43	0	20	7	39	2	12	1
4594	Cgref1	1	13	2	10	0	1	6	18	8	0	0	1	0	4	26	9	1	5	13	1	31	0	10	12	26	0	12	0	42	0	7	1	42	1
4595	Cgrrf1	28	23	2	67	18	18	36	30	42	17	12	2	0	43	90	36	1	45	38	4	109	41	42	41	19	26	20	2	93	7	33	3	98	6
4596	Ch25h	0	2	2	28	0	1	2	3	6	0	0	0	0	16	0	2	0	77	0	0	0	0	0	0	1	0	4	0	4	0	2	0	2	0
4597	Chac1	1	49	5	51	1	1	29	55	47	0	0	2	0	27	13	13	0	15	9	3	39	1	13	45	45	0	46	1	49	0	52	2	75	1
4598	Chac2	20	32	6	106	9	18	46	85	90	10	12	0	2	122	81	37	1	35	41	1	130	38	29	60	52	21	31	2	124	6	19	10	144	3
4599	Chad	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
4600	Chadl	2	0	0	2	2	1	1	4	4	4	3	0	0	3	0	2	0	3	0	0	2	7	1	1	3	1	1	0	2	1	0	3	0	0
4601	Chaf1a	4	2	1	20	0	2	1	3	18	0	1	0	0	12	46	5	0	26	20	0	32	5	33	6	25	3	4	0	21	1	5	0	14	0
4602	Chaf1b	2	18	0	49	1	0	10	3	35	2	9	1	1	44	129	7	0	26	67	2	172	21	79	12	102	13	11	0	26	3	10	0	45	0
4603	Champ1	16	12	1	52	10	15	18	20	37	11	19	0	0	38	29	12	2	42	16	0	66	18	20	23	22	15	8	0	37	3	10	2	47	1
4604	Chat	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4605	Chchd1	166	192	22	590	122	190	153	224	418	69	99	13	17	391	625	149	8	233	326	18	1469	404	316	333	317	182	179	19	792	48	173	21	828	29
4606	Chchd10	11	5	0	21	3	7	3	16	11	4	2	0	1	16	0	3	0	17	1	1	90	14	3	16	50	9	0	0	204	4	4	1	201	0
4607	Chchd2	163	202	31	692	119	218	272	306	502	90	140	16	1	618	624	227	3	604	307	23	989	362	320	296	663	176	159	13	820	54	230	19	893	44
4608	Chchd3	68	92	10	221	63	76	77	109	137	30	67	10	7	157	197	57	3	110	101	11	412	189	137	136	157	83	64	4	302	19	62	8	382	10
4609	Chchd4	20	28	3	47	13	43	17	20	46	6	19	0	1	44	75	16	0	52	25	0	267	48	38	31	86	30	20	0	110	6	21	1	149	4
4610	Chchd5	36	138	3	149	35	65	94	87	112	14	31	4	3	114	98	59	0	54	42	15	150	100	44	136	198	53	107	11	118	18	102	12	170	16
4611	Chchd6	19	51	2	58	12	27	40	35	54	13	8	3	1	54	69	25	0	35	35	2	100	47	33	43	127	12	34	1	67	10	30	1	102	7
4612	Chchd7	20	76	4	98	11	18	54	56	80	9	3	8	1	78	94	52	4	68	46	3	192	30	50	62	69	14	55	1	116	14	63	4	147	2
4613	Chd1	38	30	5	126	23	34	42	60	99	24	27	4	1	120	129	38	2	49	60	4	141	57	70	82	15	30	35	4	88	32	26	5	114	6
4614	Chd1l	3	3	1	14	2	8	3	9	13	2	2	0	0	4	10	3	1	6	7	0	9	4	3	2	8	2	7	0	12	3	4	2	10	0
4615	Chd2	40	17	1	46	21	16	20	31	39	9	19	3	6	43	19	12	6	37	10	1	50	31	18	29	13	20	12	1	48	14	17	3	90	2
4616	Chd3	14	32	12	164	13	6	67	141	209	10	7	4	0	138	91	32	1	107	62	4	82	11	60	113	47	1	24	6	49	2	18	8	78	3
4617	Chd4	148	91	7	286	49	105	90	134	266	44	79	10	33	279	207	78	26	330	95	10	421	154	176	152	197	68	71	8	356	39	77	11	429	8
4618	Chd5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
4619	Chd6	23	23	3	50	13	31	22	37	41	17	24	4	4	44	14	18	0	44	5	1	53	54	16	24	11	29	17	0	61	9	8	2	71	17
4620	Chd7	76	5	2	4	62	74	4	0	3	58	69	0	13	6	3	5	0	7	4	0	63	119	4	5	26	59	2	0	103	34	2	1	122	10
4621	Chd8	28	16	7	54	10	25	25	20	58	8	22	1	3	48	47	30	3	54	15	1	70	26	39	27	6	12	12	0	42	5	18	0	58	1
4622	Chd9	35	8	7	43	19	38	18	43	34	11	18	0	0	34	17	15	5	37	13	2	23	47	21	31	16	21	9	2	25	11	4	4	19	4
4623	Chdh	23	15	3	35	13	21	6	3	24	7	8	2	0	26	42	11	0	10	22	0	29	31	13	7	21	14	12	1	22	7	12	0	17	4
4624	Chek1	2	1	1	21	1	0	0	1	14	1	2	1	0	10	37	2	2	3	23	0	40	4	21	3	6	0	3	0	18	0	4	0	20	0
4625	Chek2	5	4	2	19	10	7	4	8	19	5	1	1	0	19	11	4	1	17	12	1	37	11	3	19	15	6	4	1	21	1	6	0	20	1
4626	Cherp	21	21	3	49	16	24	19	24	46	5	14	2	2	34	45	13	1	66	17	2	90	31	36	22	42	16	19	1	43	2	21	2	66	1
4627	Chfr	4	17	2	36	5	7	18	33	29	3	3	1	0	26	22	16	0	19	14	2	11	7	14	30	14	7	17	2	24	3	11	0	30	0
4628	Chga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4629	Chgb	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	4	0
4630	Chi3l1	2	0	0	0	0	6	0	0	1	0	0	0	0	2	0	0	1	0	0	0	11	1	2	0	25	0	0	0	59	1	1	0	54	1
4631	Chi3l3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632	Chi3l4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4633	Chia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4634	Chic1	8	5	0	13	4	13	6	11	10	1	5	0	0	8	3	10	0	11	3	0	27	12	3	7	3	4	4	0	18	3	8	1	17	0
4635	Chic2	21	31	2	57	8	19	11	37	48	7	18	1	2	56	32	17	4	49	18	3	38	28	25	31	21	16	22	1	52	3	19	3	64	3
4636	Chid1	23	43	8	149	17	16	38	92	124	16	24	5	2	116	23	49	0	128	12	8	87	48	23	78	73	18	41	6	93	11	31	4	157	1
4637	Chit1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4638	Chka	4	8	0	16	5	3	6	2	9	2	2	1	1	10	11	2	0	11	6	0	33	9	13	1	3	6	10	0	13	3	12	0	40	1
4639	Chkb	7	7	4	29	4	2	19	16	23	0	5	0	0	24	11	6	0	14	8	3	12	7	7	17	13	5	6	2	21	2	3	1	27	1
4640	Chl1	1	0	0	16	0	1	0	1	33	1	2	0	0	17	0	0	0	84	1	3	0	0	2	36	0	0	0	3	0	0	1	0	1	0
4641	Chm	17	6	1	32	6	15	13	21	33	2	7	2	0	26	22	14	1	26	8	1	23	15	17	10	2	6	7	0	22	6	11	2	32	2
4642	Chml	3	3	0	4	0	3	3	6	2	0	1	0	0	3	6	4	0	2	3	0	22	4	11	3	4	0	0	1	19	1	2	0	32	0
4643	Chmp1a	36	87	7	251	21	70	124	108	208	21	42	5	1	190	133	70	4	150	78	4	218	69	81	118	155	42	72	7	176	10	59	9	189	9
4644	Chmp1b	30	26	3	83	14	18	33	56	61	2	12	3	0	57	27	24	0	45	28	3	68	34	16	38	17	15	20	3	66	13	12	1	93	4
4645	Chmp2a	196	332	39	754	127	241	265	413	523	105	113	22	14	495	322	203	25	307	142	18	456	380	183	380	268	185	237	20	484	61	219	22	553	44
4646	Chmp2b	33	32	4	75	12	29	25	54	106	5	15	2	3	69	50	36	5	68	27	4	54	34	39	38	11	21	34	2	64	5	39	3	80	6
4647	Chmp3	85	202	21	501	51	97	157	347	368	35	44	9	2	326	243	176	2	159	143	9	433	148	148	266	132	73	144	9	285	25	111	14	334	10
4648	Chmp4b	83	245	15	360	32	85	170	161	294	24	48	9	7	327	255	131	9	268	159	13	287	128	135	183	153	74	139	5	205	20	133	10	294	9
4649	Chmp4c	0	2	0	1	0	0	0	0	1	0	0	0	0	1	5	0	0	0	2	0	4	1	0	0	0	0	3	0	0	0	2	0	0	0
4650	Chmp5	75	195	24	321	48	83	291	268	242	39	48	17	9	239	262	232	20	159	143	11	302	116	119	203	108	63	179	17	315	17	129	23	425	13
4651	Chmp6	26	37	5	82	12	24	34	25	83	10	16	3	0	44	67	20	1	82	34	2	76	41	28	34	38	27	33	1	47	3	30	2	33	0
4652	Chmp7	16	12	1	41	10	20	18	30	39	5	13	0	1	44	21	14	0	61	15	1	39	14	22	31	11	8	12	0	29	2	6	1	32	2
4653	Chn1	6	0	1	6	1	2	2	5	3	4	3	0	0	5	3	2	1	4	4	1	78	1	5	0	67	3	1	0	145	0	1	0	148	2
4654	Chn2	1	4	0	1	1	1	6	1	0	0	5	0	0	1	9	2	0	2	3	0	2	23	6	1	1	6	1	1	5	0	4	0	5	0
4655	Chodl	1428	4	4	16	891	883	4	5	7	719	755	1	6	6	10	3	3	7	7	0	5	1747	14	19	10	1030	2	1	9	476	25	4	13	167
4656	Chordc1	19	58	3	128	13	25	58	71	85	9	22	2	16	98	148	46	22	57	82	4	151	53	95	70	52	20	54	1	177	9	46	9	188	2
4657	Chp1	88	58	14	277	19	73	93	131	242	24	53	4	0	332	181	67	4	310	89	5	147	88	87	111	82	50	65	7	148	14	56	3	153	7
4658	Chp2	3	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
4659	Chpf	14	33	12	174	10	22	42	116	207	5	16	4	1	149	33	33	1	152	31	3	60	27	31	92	37	11	21	4	48	6	24	4	71	1
4660	Chpf2	9	7	4	85	7	11	8	34	82	2	6	0	1	86	16	17	0	68	9	2	34	15	13	32	23	2	8	1	32	1	17	1	28	1
4661	Chpt1	55	29	3	65	18	27	42	49	60	11	25	1	0	90	42	26	0	56	17	6	47	39	26	28	23	22	17	0	44	17	17	3	50	3
4662	Chrac1	159	118	19	410	148	198	119	227	283	82	111	6	4	269	312	104	4	204	142	12	393	334	116	210	174	167	87	19	304	59	87	12	353	30
4663	Chrd	6	2	1	3	6	2	5	5	10	0	0	0	1	5	1	3	0	3	0	0	3	6	1	5	0	1	1	0	6	0	1	0	5	1
4664	Chrdl1	4	0	1	11	0	1	2	53	8	1	0	0	1	4	0	2	0	63	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	1
4665	Chrdl2	242	0	0	2	75	205	3	0	2	66	115	0	1	2	2	0	2	0	0	1	2	148	1	3	1	135	0	0	2	54	3	1	4	14
4666	Chrm1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
4667	Chrm2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4668	Chrm3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4669	Chrm4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4670	Chrm5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4671	Chrna1	158	146	12	254	97	92	95	69	141	90	106	9	7	154	199	83	6	70	91	8	2905	319	120	124	1743	146	134	13	3936	42	184	22	4602	28
4672	Chrna10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	3	0
4673	Chrna2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4674	Chrna3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4675	Chrna4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4676	Chrna5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4677	Chrna6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4678	Chrna7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4679	Chrna9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4680	Chrnb1	138	8	0	13	65	92	4	2	4	35	53	0	0	2	8	2	1	6	4	0	181	125	6	8	82	78	5	1	201	41	7	3	155	16
4681	Chrnb2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4682	Chrnb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4683	Chrnb4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0
4684	Chrnd	2	2	0	7	0	2	3	0	2	0	1	0	0	4	1	4	1	1	0	0	203	1	5	6	114	1	0	2	273	0	6	2	289	0
4685	Chrne	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
4686	Chrng	3	3	0	4	4	2	14	13	2	0	2	1	0	8	1	7	0	3	2	1	285	0	8	10	413	2	3	0	459	1	6	3	560	2
4687	Chst1	2	20	1	36	0	1	6	7	19	1	2	0	0	22	24	5	0	20	12	1	0	1	16	4	0	0	18	1	4	0	24	1	1	0
4688	Chst10	1	3	0	10	0	1	4	3	3	3	0	0	0	4	5	1	0	3	3	0	2	1	1	2	0	0	3	0	2	1	0	0	1	1
4689	Chst11	1	12	1	49	0	5	20	13	21	0	0	1	7	36	33	12	0	17	6	0	60	0	19	13	12	2	10	1	41	0	11	0	35	0
4690	Chst12	24	34	3	111	10	22	33	84	111	13	8	1	0	125	32	47	1	106	16	1	19	23	14	56	23	18	24	4	10	2	18	2	9	3
4691	Chst13	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0
4692	Chst14	7	11	4	40	3	8	10	40	55	4	11	0	0	41	14	3	0	56	11	2	27	12	12	25	13	2	10	0	18	0	8	2	30	2
4693	Chst15	1	0	0	23	2	1	0	6	17	0	0	0	0	22	0	0	0	11	1	0	8	0	3	11	6	1	1	0	14	2	1	0	11	0
4694	Chst2	3	9	1	105	3	5	18	14	95	0	0	1	1	93	31	11	0	49	18	0	194	4	17	22	52	1	6	0	86	2	9	4	108	2
4695	Chst3	2	0	0	3	2	2	0	0	0	0	0	0	0	2	1	0	0	1	2	0	2	5	1	1	2	1	2	0	0	0	0	0	1	0
4696	Chst4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4697	Chst5	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0
4698	Chst7	24	7	0	22	34	23	21	12	16	21	8	1	0	18	45	13	0	20	16	1	26	70	18	12	13	46	6	0	10	11	0	0	7	4
4699	Chst8	3	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	0	0	0	0	3	1	0	0	2	4	0	0	4	0	0	1	5	0
4700	Chst9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4701	Chsy1	4	13	6	152	2	6	20	45	224	0	0	1	3	155	68	16	0	130	25	0	114	4	47	85	18	8	14	2	28	4	16	4	57	3
4702	Chsy3	0	0	1	8	0	0	0	11	6	0	1	0	0	2	0	0	1	10	0	0	0	0	0	4	1	0	0	0	2	0	0	0	5	0
4703	Chtf18	0	3	0	18	0	2	0	1	5	0	3	0	1	7	23	2	0	9	11	0	20	7	13	1	7	6	8	0	13	0	4	0	12	1
4704	Chtf8	14	24	1	68	4	22	25	17	40	10	11	0	0	60	64	19	1	64	25	1	67	32	34	16	33	11	15	0	48	4	26	3	63	3
4705	Chtop	81	105	3	219	29	74	76	71	178	31	48	3	5	167	155	41	7	138	68	4	297	136	82	72	131	50	63	5	130	24	75	3	177	3
4706	Chuk	43	28	2	114	11	22	36	59	60	9	5	3	0	83	54	36	1	46	33	4	92	33	43	31	14	21	30	4	85	7	20	3	62	1
4707	Churc1	125	510	25	1020	110	131	255	319	661	66	67	25	2	693	636	248	4	258	362	36	1103	195	273	542	610	104	391	29	989	34	393	25	1152	19
4708	Ciao1	34	18	3	71	11	36	25	36	63	14	30	0	1	64	33	19	0	68	18	3	97	44	15	36	61	20	19	4	74	8	15	4	92	3
4709	Ciapin1	48	143	7	195	18	59	89	63	110	14	23	7	3	111	288	72	1	113	131	4	381	74	128	73	380	39	105	11	257	14	86	2	280	5
4710	Cib1	12	56	7	104	9	12	34	68	68	4	6	5	1	82	74	25	1	53	42	6	118	21	32	73	76	7	41	5	93	3	40	1	93	1
4711	Cib2	16	6	0	3	10	9	3	2	6	11	11	1	0	7	1	0	0	5	0	0	6	32	1	6	17	10	2	0	20	7	2	0	21	0
4712	Cib3	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4713	Cib4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4714	Cic	14	9	1	68	12	19	13	24	47	5	10	2	1	61	18	7	0	48	11	0	13	17	10	22	10	13	5	2	18	5	16	2	26	1
4715	Cidea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	13	0	0	0	9	0
4716	Cideb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4717	Cidec	0	0	0	7	0	0	35	7	1	0	1	3	0	16	0	36	0	3	0	1	1	0	0	5	0	0	0	0	0	0	0	1	0	0
4718	Ciita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4719	Cilp	2	0	27	5	1	2	0	344	16	1	2	0	0	26	1	0	0	16	0	2	0	3	1	49	0	0	0	1	0	0	0	21	0	0
4720	Cilp2	2	0	0	2	3	0	0	1	3	3	1	0	0	2	0	0	0	1	0	0	1	2	0	1	0	0	0	0	10	0	3	0	5	0
4721	Cinp	15	31	3	75	14	32	30	43	54	14	16	2	2	65	124	21	0	45	71	1	110	61	53	34	70	16	24	6	67	7	25	3	89	4
4722	Cir1	56	44	8	115	28	84	65	77	93	24	53	4	7	90	34	60	17	53	29	1	99	100	17	65	22	58	28	7	105	31	26	2	106	8
4723	Cirbp	91	73	8	97	67	114	90	50	53	61	54	10	1	64	30	83	1	68	18	1	200	94	23	37	125	57	54	2	164	38	34	4	171	7
4724	Cirh1a	34	47	3	132	25	44	39	32	70	20	25	5	5	88	133	34	9	88	66	8	279	88	78	77	118	44	44	7	152	12	43	3	141	12
4725	Cisd1	60	214	12	261	24	69	241	150	201	44	54	18	3	217	442	151	4	189	267	11	886	160	180	213	485	83	161	14	625	9	138	17	626	10
4726	Cisd2	49	56	12	334	20	65	56	72	186	30	39	5	4	185	189	22	0	144	86	5	311	96	85	91	81	41	49	7	219	16	46	7	236	9
4727	Cisd3	48	24	8	150	22	48	38	70	101	16	41	3	0	121	67	32	0	109	29	5	128	67	19	63	67	39	18	4	134	11	27	4	127	5
4728	Cish	2	0	0	3	0	1	1	1	5	0	3	0	0	4	4	0	0	18	0	1	2	1	2	1	3	0	1	0	7	0	2	0	6	0
4729	Cit	1	3	0	9	2	1	1	0	5	0	1	0	0	7	14	0	1	1	7	0	10	3	10	2	7	1	3	0	5	1	5	0	4	0
4730	Cited1	0	0	0	1	0	3	2	0	2	0	3	0	1	0	3	5	0	0	1	0	38	3	6	2	190	0	0	0	130	1	1	0	155	2
4731	Cited2	74	167	13	308	29	49	105	150	198	38	36	8	6	227	187	95	86	233	116	4	1220	85	144	113	513	43	113	5	371	18	123	8	612	11
4732	Cited4	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4733	Ciz1	27	19	4	48	18	26	31	34	36	14	13	2	1	54	30	25	0	44	24	0	47	30	17	35	41	24	16	4	55	8	19	2	61	1
4734	Ckap2	2	62	2	170	2	4	25	15	65	1	11	2	1	100	133	21	0	49	82	4	322	33	76	33	88	3	51	2	136	0	38	2	127	1
4735	Ckap2l	2	23	0	133	0	5	13	2	82	2	12	1	3	106	126	13	0	45	77	1	171	40	83	31	45	10	17	0	84	1	25	1	97	0
4736	Ckap4	38	96	17	732	10	27	75	225	726	9	26	5	7	662	423	58	19	862	194	21	141	28	376	259	115	17	81	13	166	10	92	14	204	3
4737	Ckap5	35	39	3	167	16	31	35	48	112	21	19	3	10	123	129	23	23	91	67	2	190	59	94	69	55	24	46	5	127	12	42	2	148	3
4738	Ckb	48	17	14	153	37	48	10	134	86	48	40	2	1	114	6	14	1	179	5	2	162	147	10	49	367	60	20	0	224	7	27	4	258	12
4739	Cklf	13	18	3	63	6	4	21	53	40	6	5	1	0	40	42	7	0	30	27	4	83	15	26	29	12	8	18	2	46	1	16	3	40	1
4740	Ckm	100	2	0	6	20	92	31	7	2	22	89	2	0	6	2	28	0	5	1	0	69	99	0	2	19	61	2	2	213	20	1	0	174	10
4741	Ckmt1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
4742	Ckmt2	8	0	0	1	3	12	1	0	0	5	7	0	0	1	0	2	0	0	0	0	14	9	3	1	9	8	0	0	115	2	1	0	62	1
4743	Cks1b	46	122	20	938	28	64	83	285	469	20	36	7	11	604	1064	74	8	349	467	15	1539	138	422	295	651	57	80	15	614	11	140	15	686	12
4744	Cks2	27	65	2	497	12	28	43	44	279	4	40	2	471	353	838	33	550	141	491	7	1272	147	424	154	392	47	94	12	641	6	115	9	698	4
4745	Clasp1	16	17	7	76	13	18	28	32	59	8	19	0	3	82	45	26	3	63	30	6	68	33	41	44	22	19	16	1	79	6	24	2	73	4
4746	Clasp2	23	12	2	70	20	59	14	23	51	19	17	1	0	55	27	9	0	32	9	1	21	37	16	9	8	16	4	2	27	12	5	2	41	5
