SC	10T 5aza D5	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IPS	IF	10T	10T 5aza D10	BJ Fib	IF	10T	IF AdMyoD D5	Myo	SC	10T	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D10	Myo	SC	NA
39	1110012L19Rik	35	69	8	238	26	38	83	89	115	20	38	5	1	190	62	54	2	78	29	4	189	75	33	100	158	45	60	4	183	13	43	6	281	12
40	1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
41	1110017D15Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
42	1110019D14Rik	5	11	1	9	0	5	15	19	19	0	4	0	0	15	8	3	0	3	5	0	33	8	2	13	7	4	7	0	20	3	8	1	25	1
43	1110020A21Rik	4	0	0	9	3	4	2	1	2	6	0	1	0	5	4	3	0	1	7	0	12	10	2	4	1	1	1	0	37	4	0	0	28	1
44	1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
47	1110032A03Rik	29	33	6	98	19	21	45	75	70	2	16	2	0	63	9	45	0	44	12	4	32	50	10	82	18	23	16	5	62	13	14	7	58	8
48	1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
49	1110034G24Rik	7	6	1	12	12	18	14	10	13	8	7	2	0	15	6	15	2	9	2	0	11	22	6	10	10	18	3	0	12	2	1	1	12	4
50	1110035M17Rik	0	6	0	4	0	0	0	3	6	2	0	1	0	2	1	1	0	6	1	0	1	0	0	3	2	0	2	0	2	0	1	0	5	0
51	1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	1110037F02Rik	34	58	4	174	19	43	70	71	140	11	25	1	3	143	112	38	3	95	76	4	133	51	77	90	30	27	42	3	72	11	32	5	105	3
53	1110038B12Rik	85	206	12	313	35	88	88	144	249	14	54	5	3	224	303	52	2	170	160	15	260	154	151	218	137	66	125	4	157	41	136	9	269	5
54	1110038F14Rik	66	55	9	160	42	94	56	115	141	39	56	9	2	106	71	50	0	78	35	9	127	197	36	98	103	91	40	7	158	17	18	5	185	21
55	1110046J04Rik	1	36	3	68	3	2	10	14	28	0	4	0	1	37	51	4	0	28	15	0	17	3	30	33	9	0	23	3	15	2	24	0	16	0
56	1110051M20Rik	27	28	4	45	11	21	30	41	52	5	15	1	1	37	31	12	0	35	17	3	62	49	17	52	62	30	12	3	55	9	18	0	86	5
57	1110054M08Rik	18	14	2	55	7	10	19	30	44	5	10	1	0	38	8	17	0	25	6	1	19	21	9	27	19	9	14	3	21	4	8	5	33	0
58	1110057K04Rik	69	121	6	327	42	67	170	207	199	26	32	14	3	257	245	129	2	135	123	11	489	122	101	206	241	41	82	8	279	22	66	16	341	9
59	1110058L19Rik	51	130	15	316	21	51	190	207	237	14	29	13	2	230	120	171	1	133	71	6	372	99	66	202	191	49	121	13	406	14	79	13	488	11
60	1110059E24Rik	35	35	6	104	18	34	40	64	81	16	16	1	0	66	91	32	1	42	38	2	119	69	41	47	31	31	14	4	101	14	31	4	124	4
61	1110059G10Rik	38	21	3	99	29	42	40	57	79	17	25	5	7	68	34	47	2	46	31	5	64	63	21	45	25	35	22	3	73	15	19	4	88	4
62	1110059M19Rik	0	0	1	2	0	0	3	1	1	0	0	0	0	2	0	1	0	1	0	0	7	0	0	3	10	0	0	1	76	0	1	2	76	1
63	1110065P20Rik	13	24	1	57	4	11	25	37	39	8	2	1	0	44	33	17	0	32	10	2	40	21	15	35	25	12	13	0	35	0	17	2	37	2
64	1190002F15Rik	22	22	0	136	9	16	14	4	73	6	15	1	0	95	169	6	0	30	78	2	275	93	53	31	77	15	22	2	93	2	26	2	145	1
65	1190002N15Rik	31	10	0	28	7	14	19	13	38	9	18	2	3	35	10	14	4	27	4	0	115	15	15	11	17	14	3	0	122	3	6	0	193	3
66	1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	1190005I06Rik	0	3	2	7	0	0	3	2	3	0	0	2	0	2	6	2	0	5	3	0	2	1	2	0	1	1	6	0	5	0	6	0	1	0
68	1190007I07Rik	15	16	1	13	14	25	21	15	20	9	4	0	0	12	19	15	0	9	8	1	64	28	8	17	36	9	8	1	13	8	8	0	33	0
69	1200011I18Rik	24	46	2	102	7	29	40	44	79	8	10	5	4	64	56	30	4	48	37	9	94	20	31	55	49	15	31	1	67	7	41	2	102	2
70	1200014J11Rik	34	114	6	219	19	25	79	62	135	14	17	6	4	169	129	52	1	82	54	3	248	39	46	104	127	26	88	7	209	7	106	2	265	2
71	1300002E11Rik	33	18	3	45	24	22	23	25	21	2	16	0	1	24	13	9	0	16	8	1	45	27	12	29	13	17	14	2	45	7	7	1	44	3
72	1300002K09Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	1300015D01Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	1300017J02Rik	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	1500002O10Rik	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0
76	1500004A13Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0
77	1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	1500009L16Rik	1	7	2	95	1	2	16	27	61	1	0	1	1	97	2	10	0	92	1	0	28	0	3	28	7	1	10	1	96	0	4	5	61	2
79	1500011B03Rik	4	15	1	22	3	10	18	7	22	4	4	0	0	18	20	14	0	22	5	2	16	4	11	9	9	5	13	1	20	1	12	1	20	0
80	1500011K16Rik	80	64	13	201	56	120	53	108	143	33	54	2	0	137	113	35	2	96	61	8	259	191	43	105	161	103	54	11	254	26	56	7	273	23
81	1500012F01Rik	281	285	18	380	115	309	105	281	340	60	159	7	3	266	261	108	7	148	156	17	269	460	141	388	114	228	229	16	322	79	160	16	461	28
82	1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
83	1500015A07Rik	1	1	0	6	3	5	0	3	1	0	3	0	0	2	2	2	0	1	4	0	8	0	3	1	1	0	3	0	9	0	3	0	6	0
84	1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	1500015O10Rik	9	9	30	89	1	7	298	270	170	4	13	20	2	109	0	167	1	121	2	18	1	34	8	197	5	5	11	7	2	4	10	20	8	4
86	1500016L03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	1500017E21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	4	0
88	1600002D24Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
89	1600002H07Rik	3	3	0	13	8	5	4	6	16	5	4	0	0	10	24	3	1	7	8	2	20	7	9	9	17	10	2	0	22	4	1	1	23	2
90	1600002K03Rik	12	26	6	72	9	14	18	35	53	6	11	3	0	56	52	10	0	30	22	2	49	23	12	40	43	7	11	2	28	5	15	2	39	0
91	1600010M07Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0
92	1600012H06Rik	11	27	3	112	11	15	31	68	85	8	11	0	1	103	46	19	0	50	28	6	69	23	23	77	25	10	28	3	64	3	22	12	65	3
93	1600014C10Rik	6	18	2	111	3	6	17	42	84	3	2	0	0	73	13	11	0	58	11	1	39	4	10	34	24	7	9	1	30	5	10	5	36	2
94	1600014C23Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0
95	1600014K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	1600016N20Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	10	0	4	0	3	0
98	1600019K03Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	14	0	1	0	8	0	0	0	2	0	0	0	1	0	2	0
99	1600020E01Rik	20	23	1	24	15	14	21	22	19	11	10	0	0	20	8	11	0	18	6	0	27	21	5	22	5	9	14	1	23	3	14	0	21	3
100	1600023N17Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	0	0	2	0
101	1600025M17Rik	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
102	1600029D21Rik	1	0	0	0	0	0	5	0	1	1	0	0	0	0	0	2	0	0	0	0	13	1	0	1	3	0	2	0	13	0	4	0	11	0
103	1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1600029O15Rik	10	32	0	33	6	9	19	22	31	3	9	2	0	34	26	11	0	10	11	1	35	7	13	18	36	5	12	1	49	0	21	0	57	0
105	1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1700001C19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
107	1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	1700001G11Rik	2	1	0	3	0	0	0	0	5	0	0	0	0	2	2	0	0	2	1	2	0	1	0	3	2	0	1	1	0	0	1	0	2	0
110	1700001G17Rik	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	1	1	2	1	1	0	0	0	0	1	1	0	0	0
111	1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	1700001J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	1700001K19Rik	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
114	1700001K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
115	1700001L05Rik	0	0	0	4	1	1	0	4	6	0	0	0	0	4	2	0	0	2	0	0	1	0	0	4	1	0	1	0	3	0	3	0	4	0
116	1700001L19Rik	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	1	0	0	0
117	1700001O22Rik	1	0	1	10	1	0	0	4	10	2	2	0	0	16	0	1	0	2	0	0	7	6	0	2	3	6	0	0	8	0	0	0	16	1
118	1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0
119	1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	1700003D09Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	1700003E16Rik	0	1	0	2	0	1	1	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	1	0	0	1	2	0	4	0	4	0	1	0
122	1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
123	1700003F12Rik	0	1	0	3	0	1	2	1	1	0	1	1	0	1	2	2	0	2	0	0	8	1	1	1	10	0	1	1	1	0	3	0	5	1
124	1700003F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	1700003G18Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
127	1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	1700003M02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
130	1700003M07Rik	0	4	0	7	1	1	8	0	2	0	3	0	0	0	0	7	0	1	2	0	1	0	0	2	1	0	3	1	5	2	1	0	0	0
131	1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	1700006F04Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	1700007G11Rik	1	4	0	1	0	0	4	3	1	0	0	0	0	3	0	2	0	1	0	0	0	0	1	5	0	0	2	0	1	0	0	0	3	0
139	1700007J10Rik	1	12	0	24	3	2	7	8	18	4	3	0	0	15	16	7	0	3	6	2	33	4	4	12	15	2	11	1	14	1	14	0	33	0
140	1700007K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
141	1700007K13Rik	1	30	1	12	3	0	37	60	8	0	2	1	0	7	1	39	0	1	0	0	40	0	0	20	26	0	13	0	34	0	7	2	35	0
142	1700007L15Rik	7	2	0	13	2	4	4	3	14	6	0	0	0	22	6	7	0	7	3	0	19	5	2	6	17	3	1	0	14	4	5	1	30	1
143	1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
144	1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	1700008F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	1700008I05Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	13	0	0	0	3	1	0	0	38	0	0	0	30	0
147	1700008J07Rik	1	2	0	14	1	5	1	6	7	4	1	2	0	2	2	1	0	3	0	0	3	2	2	4	2	1	1	0	4	1	0	0	1	0
148	1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	1700008O03Rik	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
152	1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	1700009N14Rik	0	0	0	2	0	1	0	0	1	0	0	0	0	1	2	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
154	1700009P17Rik	0	3	0	5	0	4	1	6	11	2	1	0	0	13	0	0	0	7	0	0	5	5	1	4	3	0	0	0	9	0	2	0	9	0
155	1700010B08Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	1700010I14Rik	0	0	0	6	0	0	0	0	4	0	0	0	0	5	0	0	0	2	0	0	6	2	0	5	1	0	0	0	3	0	0	0	9	0
159	1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
161	1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
162	1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	1700011E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
164	1700011H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	10	0
166	1700011J10Rik	22	57	1	56	12	19	25	21	49	9	12	0	1	37	30	28	1	26	14	0	45	38	6	41	30	23	30	1	60	13	30	2	65	1
167	1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	1700012B07Rik	0	0	0	3	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	1	0	1	0
171	1700012B09Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	21	0	0	0	29	1	0	0	35	0
172	1700012B15Rik	5	8	1	27	7	10	11	13	7	4	4	0	0	11	6	9	0	8	3	0	8	12	5	3	6	3	5	0	4	2	6	0	3	0
